feature_set,feature_family,is_negative_control,regime_label_exogenous,runs,folds,seeds,n_days_median,mean_daily_return_median,sharpe_median,max_drawdown_median,turnover_median,hit_rate_median,excess_return_vs_benchmark_median
base,technical_base,False,bear_high_vol,18,6,3,4.0,0.002570809593800916,,-0.013272872675142489,0.0,0.55,0.0002934275465158672
base,technical_base,False,bear_low_vol,9,3,3,1.0,0.00030011025115232276,,0.0,0.5,0.6666666666666666,0.0004593822551476868
base,technical_base,False,bull_high_vol,9,3,3,1.0,0.0032286716795819626,,0.0,0.0,0.6666666666666666,-0.00034788255909550285
base,technical_base,False,bull_low_vol,18,6,3,3.5,0.000269581733762736,,-0.0036098638850848297,0.0,0.6666666666666666,-0.00034734419655410554
base,technical_base,False,unknown,42,14,3,59.0,0.00048248931323113906,1.0265993549591252,-0.05326278323274697,11.864406779661017,0.5338983050847458,-0.0001547204457165119
base_macro,macro_context,False,bear_high_vol,18,6,3,4.0,0.0027596188274804033,,-0.012452194733137412,0.0,0.55,-0.00012341703531296372
base_macro,macro_context,False,bear_low_vol,9,3,3,1.0,0.0006238617442276458,,0.0,0.0,0.3333333333333333,0.0004127322462944354
base_macro,macro_context,False,bull_high_vol,9,3,3,1.0,0.0022994087463521864,,0.0,0.0,0.6666666666666666,-0.0004944178903734343
base_macro,macro_context,False,bull_low_vol,18,6,3,3.5,0.0017357309069799636,,-0.002790851751716561,0.0,0.6666666666666666,-0.00015807852110100493
base_macro,macro_context,False,unknown,42,14,3,59.0,0.0005014721294334244,0.9719920874213235,-0.0539594680142057,12.711864406779661,0.5254237288135594,-0.00015949290793489254
base_macro_exogenous_plus,calendar_exogenous,False,bear_high_vol,18,6,3,4.0,0.001949329146614287,,-0.01338348348195978,0.0,0.45,2.8527831187068724e-05
base_macro_exogenous_plus,calendar_exogenous,False,bear_low_vol,9,3,3,1.0,0.000551242010780495,,0.0,0.375,0.6666666666666666,0.0003401125128472846
base_macro_exogenous_plus,calendar_exogenous,False,bull_high_vol,9,3,3,1.0,0.0016848978962455963,,0.0,0.0,0.6666666666666666,-0.0016679239450319463
base_macro_exogenous_plus,calendar_exogenous,False,bull_low_vol,18,6,3,3.5,0.00024988599123889623,,-0.004290003352915017,0.0,0.5833333333333333,0.00011830148591352207
base_macro_exogenous_plus,calendar_exogenous,False,unknown,42,14,3,59.0,0.0003867515630876054,0.7391638907987779,-0.054325469115413694,11.864406779661017,0.5423728813559322,-0.00016189905905537638
base_macro_gru,negative_control_gru,True,bear_high_vol,18,6,3,4.0,0.0023176811989679023,,-0.012068480803070825,0.0,0.6,0.00023726814593538845
base_macro_gru,negative_control_gru,True,bear_low_vol,9,3,3,1.0,-6.848286798621928e-05,,0.0,0.0,0.3333333333333333,-0.0002796123659194296
base_macro_gru,negative_control_gru,True,bull_high_vol,9,3,3,1.0,0.0034012082068685112,,0.0,0.0,0.6666666666666666,0.0002288048544114127
base_macro_gru,negative_control_gru,True,bull_low_vol,18,6,3,3.5,0.0008616396596311859,,-0.0018604071253705001,0.0,0.45,0.0006312313625742832
base_macro_gru,negative_control_gru,True,unknown,42,14,3,59.0,0.0006049272752750691,1.226661954551553,-0.04997674620401393,12.711864406779661,0.5338983050847458,-0.0001338028763871162
base_macro_hmm,negative_control_hmm,True,bear_high_vol,18,6,3,4.0,0.001309059746000657,,-0.014218291414360484,0.0,0.5,-0.00041774287933591455
base_macro_hmm,negative_control_hmm,True,bear_low_vol,9,3,3,1.0,0.0005227454604969095,,0.0,0.0,0.3333333333333333,0.00031161596256369916
base_macro_hmm,negative_control_hmm,True,bull_high_vol,9,3,3,1.0,0.003151548325744269,,0.0,0.0,0.6666666666666666,-0.0008094035534629519
base_macro_hmm,negative_control_hmm,True,bull_low_vol,18,6,3,3.5,0.0014605421853305489,,-0.004548653376230338,0.0,0.6,-0.00010663405930663017
base_macro_hmm,negative_control_hmm,True,unknown,42,14,3,59.0,0.0002789782618547501,0.5568526743507076,-0.05025803089414732,12.177966101694915,0.5084745762711864,-0.0003900239750994584
