selection_rule,selection_rule_description,score,validation_sharpe_quantile,validation_sharpe_quantile_level,validation_turnover_median,validation_max_drawdown_median,retention_ratio_median,generalization_ratio_median,n_runs_in_score,n_folds_in_score,n_seeds_in_score,validation_sharpe_median,test_sharpe_median,test_return_pct_median,test_max_drawdown_median,test_turnover_median,seed_count,run_count,feature_set,feature_family,is_negative_control,feature_set_description,fold_id,selected_by_rule
sharpe_only,Baseline rule: median validation Sharpe only.,2.425692073578083,2.425692073578083,0.5,10.790322580645162,-0.04376096727564127,0.9939585094463795,2.5431786216315553,3,1,3,2.425692073578083,2.0640592556475066,9.659379384002719,-0.05860695210904843,11.426229508196721,3,3,base_macro_exogenous_plus,calendar_exogenous,False,Baseline technical and macro features plus event/calendar exogenous features.,fold_01,True
sharpe_only,Baseline rule: median validation Sharpe only.,2.3891077609926508,2.3891077609926508,0.5,12.935483870967742,-0.0394571863359785,0.8231244283181678,2.443233144223888,3,1,3,2.3891077609926508,1.9255809653883904,8.060575570113926,-0.05747386330771698,13.147540983606557,3,3,base_macro_hmm,negative_control_hmm,True,HMM-enhanced feature set treated as a negative control.,fold_01,False
sharpe_only,Baseline rule: median validation Sharpe only.,2.2947534923675716,2.2947534923675716,0.5,12.983870967741936,-0.04254438780648795,0.7930259110415513,2.890883448897643,3,1,3,2.2947534923675716,1.6352668870740685,6.948987608820745,-0.06576113359759173,13.049180327868852,3,3,base_macro_gru,negative_control_gru,True,GRU-enhanced feature set treated as a negative control.,fold_01,False
sharpe_only,Baseline rule: median validation Sharpe only.,2.212342396539716,2.212342396539716,0.5,8.870967741935484,-0.03763854786479093,1.003609458823779,2.8236052798890996,3,1,3,2.212342396539716,2.089147403970572,7.691703835917263,-0.0547980898720456,9.01639344262295,3,3,base_macro,macro_context,False,Baseline technical features plus macro context.,fold_01,False
sharpe_only,Baseline rule: median validation Sharpe only.,2.1486132641952964,2.1486132641952964,0.5,12.903225806451612,-0.038639675391041295,0.9970279961797256,2.302029436407099,3,1,3,2.1486132641952964,2.1410285956095354,8.191041631993045,-0.06353920530439905,13.098360655737705,3,3,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_01,False
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,1.6281626316267321,2.1469881144530882,0.25,8.870967741935484,-0.03763854786479093,1.003609458823779,2.8236052798890996,3,1,3,2.212342396539716,2.089147403970572,7.691703835917263,-0.0547980898720456,9.01639344262295,3,3,base_macro,macro_context,False,Baseline technical features plus macro context.,fold_01,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,1.6241104959119854,2.251148559495526,0.25,10.790322580645162,-0.04376096727564127,0.9939585094463795,2.5431786216315553,3,1,3,2.425692073578083,2.0640592556475066,9.659379384002719,-0.05860695210904843,11.426229508196721,3,3,base_macro_exogenous_plus,calendar_exogenous,False,Baseline technical and macro features plus event/calendar exogenous features.,fold_01,False
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,1.5661320451805145,2.291820611400859,0.25,12.935483870967742,-0.0394571863359785,0.8231244283181678,2.443233144223888,3,1,3,2.3891077609926508,1.9255809653883904,8.060575570113926,-0.05747386330771698,13.147540983606557,3,3,base_macro_hmm,negative_control_hmm,True,HMM-enhanced feature set treated as a negative control.,fold_01,False
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,1.444124344602217,2.17840666860229,0.25,12.983870967741936,-0.04254438780648795,0.7930259110415513,2.890883448897643,3,1,3,2.2947534923675716,1.6352668870740685,6.948987608820745,-0.06576113359759173,13.049180327868852,3,3,base_macro_gru,negative_control_gru,True,GRU-enhanced feature set treated as a negative control.,fold_01,False
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,1.3288772219517717,2.051317863056435,0.25,12.903225806451612,-0.038639675391041295,0.9970279961797256,2.302029436407099,3,1,3,2.1486132641952964,2.1410285956095354,8.191041631993045,-0.06353920530439905,13.098360655737705,3,3,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_01,False
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,2.302605788316042,2.1469881144530882,0.25,8.870967741935484,-0.03763854786479093,1.003609458823779,2.8236052798890996,3,1,3,2.212342396539716,2.089147403970572,7.691703835917263,-0.0547980898720456,9.01639344262295,3,3,base_macro,macro_context,False,Baseline technical features plus macro context.,fold_01,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,2.254076916518313,2.251148559495526,0.25,10.790322580645162,-0.04376096727564127,0.9939585094463795,2.5431786216315553,3,1,3,2.425692073578083,2.0640592556475066,9.659379384002719,-0.05860695210904843,11.426229508196721,3,3,base_macro_exogenous_plus,calendar_exogenous,False,Baseline technical and macro features plus event/calendar exogenous features.,fold_01,False
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,2.13839812389364,2.291820611400859,0.25,12.935483870967742,-0.0394571863359785,0.8231244283181678,2.443233144223888,3,1,3,2.3891077609926508,1.9255809653883904,8.060575570113926,-0.05747386330771698,13.147540983606557,3,3,base_macro_hmm,negative_control_hmm,True,HMM-enhanced feature set treated as a negative control.,fold_01,False
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,2.0760133396972513,2.17840666860229,0.25,12.983870967741936,-0.04254438780648795,0.7930259110415513,2.890883448897643,3,1,3,2.2947534923675716,1.6352668870740685,6.948987608820745,-0.06576113359759173,13.049180327868852,3,3,base_macro_gru,negative_control_gru,True,GRU-enhanced feature set treated as a negative control.,fold_01,False
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,1.923438636457768,2.051317863056435,0.25,12.903225806451612,-0.038639675391041295,0.9970279961797256,2.302029436407099,3,1,3,2.1486132641952964,2.1410285956095354,8.191041631993045,-0.06353920530439905,13.098360655737705,3,3,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_01,False
sharpe_only,Baseline rule: median validation Sharpe only.,0.7835454158533052,0.7835454158533052,0.5,13.578125,-0.03929495423711549,-0.8090519630290903,0.8023329940146412,3,1,3,0.7835454158533052,-0.7181526691846436,-1.7211117453540425,-0.046161302795990844,13.634920634920634,3,3,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_02,True
sharpe_only,Baseline rule: median validation Sharpe only.,0.45709066759342304,0.45709066759342304,0.5,17.734375,-0.04796347938294809,-0.4820080457167589,0.4524315360422139,3,1,3,0.45709066759342304,-0.3136654435326277,-0.7778928627195203,-0.03138824927220685,17.126984126984127,3,3,base_macro_hmm,negative_control_hmm,True,HMM-enhanced feature set treated as a negative control.,fold_02,False
sharpe_only,Baseline rule: median validation Sharpe only.,0.40783697204237523,0.40783697204237523,0.5,8.984375,-0.06019005154314361,0.10858162102435806,0.48057170645273084,3,1,3,0.40783697204237523,0.023522708024679723,-0.007859695251832832,-0.030243781492768518,9.0,3,3,base_macro_exogenous_plus,calendar_exogenous,False,Baseline technical and macro features plus event/calendar exogenous features.,fold_02,False
sharpe_only,Baseline rule: median validation Sharpe only.,0.29958130354953694,0.29958130354953694,0.5,14.90625,-0.05043703209338968,2.7047742512776427,0.3992935666710947,3,1,3,0.29958130354953694,0.9044651054555707,2.0279408750587535,-0.029021198127727965,13.380952380952381,3,3,base_macro,macro_context,False,Baseline technical features plus macro context.,fold_02,False
sharpe_only,Baseline rule: median validation Sharpe only.,0.14872107519765107,0.14872107519765107,0.5,10.171875,-0.05106005214157072,1.5986006611177217,0.1322570458762528,3,1,3,0.14872107519765107,0.2457331312027333,0.4270298744674772,-0.03461929548157816,10.317460317460318,3,3,base_macro_gru,negative_control_gru,True,GRU-enhanced feature set treated as a negative control.,fold_02,False
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,-0.009901208958721708,0.7475949495155093,0.25,13.578125,-0.03929495423711549,-0.8090519630290903,0.8023329940146412,3,1,3,0.7835454158533052,-0.7181526691846436,-1.7211117453540425,-0.046161302795990844,13.634920634920634,3,3,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_02,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,-0.2573622750953597,0.3122365779909275,0.25,8.984375,-0.06019005154314361,0.10858162102435806,0.48057170645273084,3,1,3,0.40783697204237523,0.023522708024679723,-0.007859695251832832,-0.030243781492768518,9.0,3,3,base_macro_exogenous_plus,calendar_exogenous,False,Baseline technical and macro features plus event/calendar exogenous features.,fold_02,False
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,-0.498970986019904,0.11174286826323757,0.25,10.171875,-0.05106005214157072,1.5986006611177217,0.1322570458762528,3,1,3,0.14872107519765107,0.2457331312027333,0.4270298744674772,-0.03461929548157816,10.317460317460318,3,3,base_macro_gru,negative_control_gru,True,GRU-enhanced feature set treated as a negative control.,fold_02,False
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,-0.64081097555059,0.3418347332153062,0.25,17.734375,-0.04796347938294809,-0.4820080457167589,0.4524315360422139,3,1,3,0.45709066759342304,-0.3136654435326277,-0.7778928627195203,-0.03138824927220685,17.126984126984127,3,3,base_macro_hmm,negative_control_hmm,True,HMM-enhanced feature set treated as a negative control.,fold_02,False
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,-0.6770687134668709,0.16911785071990845,0.25,14.90625,-0.05043703209338968,2.7047742512776427,0.3992935666710947,3,1,3,0.29958130354953694,0.9044651054555707,2.0279408750587535,-0.029021198127727965,13.380952380952381,3,3,base_macro,macro_context,False,Baseline technical features plus macro context.,fold_02,False
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,0.059018884353204015,0.16911785071990845,0.25,14.90625,-0.05043703209338968,2.7047742512776427,0.3992935666710947,3,1,3,0.29958130354953694,0.9044651054555707,2.0279408750587535,-0.029021198127727965,13.380952380952381,3,3,base_macro,macro_context,False,Baseline technical features plus macro context.,fold_02,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,-0.07948226385903567,0.11174286826323757,0.25,10.171875,-0.05106005214157072,1.5986006611177217,0.1322570458762528,3,1,3,0.14872107519765107,0.2457331312027333,0.4270298744674772,-0.03461929548157816,10.317460317460318,3,3,base_macro_gru,negative_control_gru,True,GRU-enhanced feature set treated as a negative control.,fold_02,False
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,-0.09181425061379811,0.7475949495155093,0.25,13.578125,-0.03929495423711549,-0.8090519630290903,0.8023329940146412,3,1,3,0.7835454158533052,-0.7181526691846436,-1.7211117453540425,-0.046161302795990844,13.634920634920634,3,3,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_02,False
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,-0.15813111387136058,0.3122365779909275,0.25,8.984375,-0.06019005154314361,0.10858162102435806,0.48057170645273084,3,1,3,0.40783697204237523,0.023522708024679723,-0.007859695251832832,-0.030243781492768518,9.0,3,3,base_macro_exogenous_plus,calendar_exogenous,False,Baseline technical and macro features plus event/calendar exogenous features.,fold_02,False
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,-0.6934482565734477,0.3418347332153062,0.25,17.734375,-0.04796347938294809,-0.4820080457167589,0.4524315360422139,3,1,3,0.45709066759342304,-0.3136654435326277,-0.7778928627195203,-0.03138824927220685,17.126984126984127,3,3,base_macro_hmm,negative_control_hmm,True,HMM-enhanced feature set treated as a negative control.,fold_02,False
sharpe_only,Baseline rule: median validation Sharpe only.,5.628893795259184,5.628893795259184,0.5,8.887096774193548,-0.026125112747236057,0.4093434202176432,7.255396315936975,3,1,3,5.628893795259184,1.9530448012900066,4.020372154789009,-0.04165951645238708,9.01639344262295,3,3,base_macro,macro_context,False,Baseline technical features plus macro context.,fold_03,True
sharpe_only,Baseline rule: median validation Sharpe only.,5.120137217969249,5.120137217969249,0.5,15.46774193548387,-0.021493637999577042,0.41399174500682095,6.808714992971122,3,1,3,5.120137217969249,2.1196945415414588,3.97514168436075,-0.035117151444682304,16.139344262295083,3,3,base_macro_exogenous_plus,calendar_exogenous,False,Baseline technical and macro features plus event/calendar exogenous features.,fold_03,False
sharpe_only,Baseline rule: median validation Sharpe only.,5.084840293912963,5.084840293912963,0.5,12.790322580645162,-0.022244982372908728,0.40870802734926653,6.249252166170703,3,1,3,5.084840293912963,2.021919734804918,3.7175529183609557,-0.036722583713818535,12.868852459016393,3,3,base_macro_hmm,negative_control_hmm,True,HMM-enhanced feature set treated as a negative control.,fold_03,False
sharpe_only,Baseline rule: median validation Sharpe only.,4.926419328535751,4.926419328535751,0.5,8.870967741935484,-0.022817110448939748,0.36542965517146503,6.102443776092617,3,1,3,4.926419328535751,1.8039323515599779,3.7423435323915566,-0.037599051175479126,9.01639344262295,3,3,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_03,False
