fold_id,train_start,train_end,validation_start,validation_end,test_start,test_end,embargo_days
fold_01,2010-01-04T00:00:00,2015-09-24T00:00:00,2015-09-30T00:00:00,2015-12-29T00:00:00,2016-01-04T00:00:00,2016-04-01T00:00:00,5
fold_02,2010-01-04T00:00:00,2016-03-23T00:00:00,2016-03-29T00:00:00,2016-06-28T00:00:00,2016-07-05T00:00:00,2016-10-03T00:00:00,5
fold_03,2010-01-04T00:00:00,2016-09-23T00:00:00,2016-09-30T00:00:00,2016-12-29T00:00:00,2017-01-04T00:00:00,2017-04-03T00:00:00,5
fold_04,2010-01-04T00:00:00,2017-03-23T00:00:00,2017-03-29T00:00:00,2017-06-28T00:00:00,2017-07-05T00:00:00,2017-10-03T00:00:00,5
fold_05,2010-01-04T00:00:00,2017-09-22T00:00:00,2017-10-02T00:00:00,2017-12-29T00:00:00,2018-01-04T00:00:00,2018-04-03T00:00:00,5
fold_06,2010-01-04T00:00:00,2018-03-23T00:00:00,2018-03-29T00:00:00,2018-06-28T00:00:00,2018-07-05T00:00:00,2018-10-03T00:00:00,5
fold_07,2010-01-04T00:00:00,2018-09-24T00:00:00,2018-10-01T00:00:00,2018-12-28T00:00:00,2019-01-04T00:00:00,2019-04-03T00:00:00,5
fold_08,2010-01-04T00:00:00,2019-03-22T00:00:00,2019-03-29T00:00:00,2019-06-28T00:00:00,2019-07-05T00:00:00,2019-10-03T00:00:00,5
fold_09,2010-01-04T00:00:00,2019-09-24T00:00:00,2019-09-30T00:00:00,2019-12-27T00:00:00,2020-01-06T00:00:00,2020-04-03T00:00:00,5
fold_10,2010-01-04T00:00:00,2020-03-23T00:00:00,2020-03-30T00:00:00,2020-06-26T00:00:00,2020-07-06T00:00:00,2020-10-02T00:00:00,5
fold_11,2010-01-04T00:00:00,2020-09-24T00:00:00,2020-09-30T00:00:00,2020-12-29T00:00:00,2021-01-04T00:00:00,2021-04-01T00:00:00,5
fold_12,2010-01-04T00:00:00,2021-03-23T00:00:00,2021-03-29T00:00:00,2021-06-28T00:00:00,2021-07-06T00:00:00,2021-10-01T00:00:00,5
fold_13,2010-01-04T00:00:00,2021-09-24T00:00:00,2021-09-30T00:00:00,2021-12-29T00:00:00,2022-01-04T00:00:00,2022-04-01T00:00:00,5
fold_14,2010-01-04T00:00:00,2022-03-23T00:00:00,2022-03-29T00:00:00,2022-06-28T00:00:00,2022-07-05T00:00:00,2022-10-03T00:00:00,5
