regime,n_days,mean_return,volatility,sharpe,run_key,feature_set,fold_id,seed,regime_mean_return
0.0,45,0.00030889689007010575,0.012337931021315899,0.39743990324218487,base__fold_01__seed42,base,fold_01,42,0.00030889689007010575
1.0,17,0.0023257577057467747,0.004204405597489026,8.781326667731179,base__fold_01__seed42,base,fold_01,42,0.0023257577057467747
0.0,45,0.001260155353936613,0.012972054692581034,1.5421108338664353,base__fold_01__seed123,base,fold_01,123,0.001260155353936613
1.0,17,0.002216326834643776,0.005497372839632867,6.39998391911655,base__fold_01__seed123,base,fold_01,123,0.002216326834643776
0.0,45,0.0011611867301252582,0.011406886914502121,1.6159770864637175,base__fold_01__seed999,base,fold_01,999,0.0011611867301252582
1.0,17,0.0017337373631254708,0.003414406722591965,8.060617742778003,base__fold_01__seed999,base,fold_01,999,0.0017337373631254708
0.0,3,-0.00016194117405972838,0.0003723858920175237,-6.903420609130432,base__fold_02__seed42,base,fold_02,42,-0.00016194117405972838
1.0,61,-0.00035826913571633464,0.005637916343872169,-1.0087674002815556,base__fold_02__seed42,base,fold_02,42,-0.00035826913571633464
0.0,3,-0.00011727319330804657,0.0005361363384185265,-3.472352266172454,base__fold_02__seed123,base,fold_02,123,-0.00011727319330804657
1.0,61,-0.00026205034042787263,0.005826659121438711,-0.7139460373107662,base__fold_02__seed123,base,fold_02,123,-0.00026205034042787263
0.0,3,0.00010493986392227465,0.00042280870081595203,3.940005709714421,base__fold_02__seed999,base,fold_02,999,0.00010493986392227465
1.0,61,-1.4954384542676018e-05,0.005624261235027765,-0.042208831549504444,base__fold_02__seed999,base,fold_02,999,-1.4954384542676018e-05
1.0,62,0.0006067447132987798,0.005129379456549336,1.8777658790387237,base__fold_03__seed42,base,fold_03,42,0.0006067447132987798
1.0,62,0.0006069940048660113,0.00538511958681727,1.7893253714706294,base__fold_03__seed123,base,fold_03,123,0.0006069940048660113
1.0,62,0.00048646055537388704,0.00432457730978471,1.785682474793002,base__fold_03__seed999,base,fold_03,999,0.00048646055537388704
1.0,64,0.00047808133158141336,0.003789899155608467,2.0025086545459065,base__fold_04__seed42,base,fold_04,42,0.00047808133158141336
1.0,64,0.0015917295508086054,0.004740749802569461,5.329942377844458,base__fold_04__seed123,base,fold_04,123,0.0015917295508086054
1.0,64,0.0012027062464764204,0.0041758120854630985,4.572133367089967,base__fold_04__seed999,base,fold_04,999,0.0012027062464764204
0.0,40,-0.0015693430197611714,0.01660501718581528,-1.5003024587978426,base__fold_05__seed42,base,fold_05,42,-0.0015693430197611714
1.0,21,0.0007559927628610749,0.005085141174692941,2.3600157102216244,base__fold_05__seed42,base,fold_05,42,0.0007559927628610749
0.0,40,-0.0019072635929456988,0.015763705606423737,-1.9206696487121144,base__fold_05__seed123,base,fold_05,123,-0.0019072635929456988
1.0,21,0.0008292427659764224,0.005890888710833099,2.2346069426553523,base__fold_05__seed123,base,fold_05,123,0.0008292427659764224
0.0,40,-0.001734304185823235,0.015486522345974587,-1.7777538962913764,base__fold_05__seed999,base,fold_05,999,-0.001734304185823235
1.0,21,0.0009045823412955663,0.005544373983066373,2.589976710905402,base__fold_05__seed999,base,fold_05,999,0.0009045823412955663
1.0,64,0.001403848057912601,0.005062607301261662,4.401960435088986,base__fold_06__seed42,base,fold_06,42,0.001403848057912601
1.0,64,0.0012798539746091617,0.005523604234378576,3.678223697003563,base__fold_06__seed123,base,fold_06,123,0.0012798539746091617
1.0,64,0.0013240286986903795,0.0041502843639491345,5.0643045510943425,base__fold_06__seed999,base,fold_06,999,0.0013240286986903795
0.0,25,0.0004288162812369789,0.00552079726554144,1.2330189105511138,base__fold_07__seed42,base,fold_07,42,0.0004288162812369789
1.0,37,0.0019903205259251253,0.006220912136520858,5.0788948874467135,base__fold_07__seed42,base,fold_07,42,0.0019903205259251253
0.0,25,0.0025079370888190945,0.007355972550282722,5.412237032251246,base__fold_07__seed123,base,fold_07,123,0.0025079370888190945
1.0,37,0.0005120538624662669,0.007762022786627648,1.0472274162527289,base__fold_07__seed123,base,fold_07,123,0.0005120538624662669
0.0,25,0.001079706422204958,0.0059123064885245775,2.8990053418152573,base__fold_07__seed999,base,fold_07,999,0.001079706422204958
1.0,37,0.0012226701740000179,0.007113734403190861,2.7284245088563734,base__fold_07__seed999,base,fold_07,999,0.0012226701740000179
0.0,8,0.0015171448656659814,0.01390122337788822,1.7325042156198172,base__fold_08__seed42,base,fold_08,42,0.0015171448656659814
1.0,56,-0.0010410519085768835,0.008695320071366386,-1.9005840585951623,base__fold_08__seed42,base,fold_08,42,-0.0010410519085768835
0.0,8,0.0032231948470339417,0.014746033954523464,3.4698571908851688,base__fold_08__seed123,base,fold_08,123,0.0032231948470339417
