feature_set,feature_family,is_negative_control,regime_label_exogenous,runs,folds,seeds,n_days_median,mean_daily_return_median,sharpe_median,max_drawdown_median,turnover_median,hit_rate_median,excess_return_vs_benchmark_median
base,technical_base,False,bear_high_vol,18,6,3,4.0,0.0025708095938009293,,-0.013272872675142655,0.0,0.55,0.00029342754651585023
base,technical_base,False,bear_low_vol,9,3,3,1.0,0.00030011025115229994,,0.0,0.5,0.6666666666666666,0.00045938225514770005
base,technical_base,False,bull_high_vol,9,3,3,1.0,0.0032286716795819335,,0.0,0.0,0.6666666666666666,-0.00034788255909550024
base,technical_base,False,bull_low_vol,18,6,3,3.5,0.0002695817337627225,,-0.0036098638850848297,0.0,0.6666666666666666,-0.0003473441965541065
base,technical_base,False,unknown,42,14,3,59.0,0.0004824893132311416,1.0265993549591137,-0.05326278323274697,11.864406779661017,0.5338983050847458,-0.00015472044571650397
base_macro,macro_context,False,bear_high_vol,18,6,3,4.0,0.0027596188274803994,,-0.012452194733137412,0.0,0.55,-0.00012341703531298703
base_macro,macro_context,False,bear_low_vol,9,3,3,1.0,0.0006238617442276334,,0.0,0.0,0.3333333333333333,0.0004127322462944333
base_macro,macro_context,False,bull_high_vol,9,3,3,1.0,0.0022994087463522,,0.0,0.0,0.6666666666666666,-0.0004944178903734998
base_macro,macro_context,False,bull_low_vol,18,6,3,3.5,0.0017357309069799534,,-0.002790851751716672,0.0,0.6666666666666666,-0.00015807852110101534
base_macro,macro_context,False,unknown,42,14,3,59.0,0.0005014721294334279,0.9719920874213116,-0.05395946801420576,12.711864406779661,0.5254237288135594,-0.0001594929079348964
base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,bear_high_vol,18,6,3,4.0,0.00138411138739231,,-0.013226809665872308,0.0,0.55,-0.0012715593261378756
base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,bear_low_vol,9,3,3,1.0,0.0002548775145500667,,0.0,0.0,0.3333333333333333,-0.00020737786778799935
base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,bull_high_vol,9,3,3,1.0,0.0032986685294302998,,0.0,0.0,0.6666666666666666,-0.00047534997770220036
base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,bull_low_vol,18,6,3,3.5,0.0007090397789309399,,-0.003240170678338705,0.0,0.6,0.00018087349397437094
base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,unknown,42,14,3,59.0,0.0003458785188478721,0.833832597245949,-0.05495922740225023,12.067796610169491,0.5423728813559322,-0.0001661874571656344
base_macro_breadth_internal_structure,market_internal_breadth,False,bear_high_vol,18,6,3,4.0,0.002462641507926423,,-0.01162051891920074,0.0,0.55,-0.00044263076307779763
base_macro_breadth_internal_structure,market_internal_breadth,False,bear_low_vol,9,3,3,1.0,0.00042363120900836665,,0.0,1.875,0.3333333333333333,0.0002165965030431332
base_macro_breadth_internal_structure,market_internal_breadth,False,bull_high_vol,9,3,3,1.0,0.003185157513653067,,0.0,0.0,0.6666666666666666,-0.0007354154619533004
base_macro_breadth_internal_structure,market_internal_breadth,False,bull_low_vol,18,6,3,3.5,0.0008701283218163567,,-0.002334491068979927,0.0,0.5833333333333333,0.00027284768065268336
base_macro_breadth_internal_structure,market_internal_breadth,False,unknown,42,14,3,59.0,0.0004412390680406166,0.9219576189297657,-0.056617233124493016,12.983050847457626,0.5338983050847458,-0.00010475458856856377
base_macro_credit_stress_proxies,credit_stress_proxies,False,bear_high_vol,18,6,3,4.0,0.002195430414515375,,-0.012890123415976618,0.0,0.55,5.38539218039225e-05
base_macro_credit_stress_proxies,credit_stress_proxies,False,bear_low_vol,9,3,3,1.0,0.0006445202417562332,,0.0,0.0,0.6666666666666666,0.0005234710556391333
base_macro_credit_stress_proxies,credit_stress_proxies,False,bull_high_vol,9,3,3,1.0,0.0036004028461837,,0.0,0.0,0.6666666666666666,-0.0005506306999017999
base_macro_credit_stress_proxies,credit_stress_proxies,False,bull_low_vol,18,6,3,3.5,-1.045422739963193e-05,,-0.004108739961562302,0.0,0.5833333333333333,0.00031041661354194505
base_macro_credit_stress_proxies,credit_stress_proxies,False,unknown,42,14,3,59.0,0.000283393230205698,0.8251872520313082,-0.04552587662747282,12.711864406779661,0.5508474576271186,-0.0001358156775952265
base_macro_exogenous_plus,calendar_exogenous,False,bear_high_vol,18,6,3,4.0,0.0019493291466143002,,-0.01338348348195978,0.0,0.45,2.8527831187040345e-05
base_macro_exogenous_plus,calendar_exogenous,False,bear_low_vol,9,3,3,1.0,0.0005512420107805,,0.0,0.375,0.6666666666666666,0.0003401125128473
base_macro_exogenous_plus,calendar_exogenous,False,bull_high_vol,9,3,3,1.0,0.0016848978962455,,0.0,0.0,0.6666666666666666,-0.0016679239450319997
base_macro_exogenous_plus,calendar_exogenous,False,bull_low_vol,18,6,3,3.5,0.00024988599123890675,,-0.004290003352915128,0.0,0.5833333333333333,0.0001183014859135001
base_macro_exogenous_plus,calendar_exogenous,False,unknown,42,14,3,59.0,0.0003867515630875993,0.7391638907987652,-0.054325469115413694,11.864406779661017,0.5423728813559322,-0.00016189905905538142
base_macro_gru,negative_control_gru,True,bear_high_vol,18,6,3,4.0,0.0023176811989678997,,-0.01206848080307088,0.0,0.6,0.00023726814593541241
