feature_set,regime_label_exogenous,sharpe_median,median_n_days,sharpe_non_null_runs,sufficient_data
base,bear_high_vol,,4.0,0,False
base,bear_low_vol,,1.0,0,False
base,bull_high_vol,,1.0,0,False
base,bull_low_vol,,3.5,0,False
base,unknown,1.0265993549591252,59.0,42,True
base_macro,bear_high_vol,,4.0,0,False
base_macro,bear_low_vol,,1.0,0,False
base_macro,bull_high_vol,,1.0,0,False
base_macro,bull_low_vol,,3.5,0,False
base_macro,unknown,0.9719920874213235,59.0,42,True
base_macro_exogenous_plus,bear_high_vol,,4.0,0,False
base_macro_exogenous_plus,bear_low_vol,,1.0,0,False
base_macro_exogenous_plus,bull_high_vol,,1.0,0,False
base_macro_exogenous_plus,bull_low_vol,,3.5,0,False
base_macro_exogenous_plus,unknown,0.7391638907987779,59.0,42,True
base_macro_gru,bear_high_vol,,4.0,0,False
base_macro_gru,bear_low_vol,,1.0,0,False
base_macro_gru,bull_high_vol,,1.0,0,False
base_macro_gru,bull_low_vol,,3.5,0,False
base_macro_gru,unknown,1.226661954551553,59.0,42,True
base_macro_hmm,bear_high_vol,,4.0,0,False
base_macro_hmm,bear_low_vol,,1.0,0,False
base_macro_hmm,bull_high_vol,,1.0,0,False
base_macro_hmm,bull_low_vol,,3.5,0,False
base_macro_hmm,unknown,0.5568526743507076,59.0,42,True
