feature_set,short_label,family_group,test_sharpe_median,test_sharpe_mean,test_return_pct_median,test_return_pct_mean,positive_test_sharpe_rate,retention_ratio_median,generalization_ratio_median
base_macro_breadth_internal_structure,Breadth,candidate_low_priority,0.4827447088597676,1.0649747265474305,1.6653495694103129,0.8162699287223437,0.6190476190476191,0.20127847126857,3.1640031858415965
base_macro_rates_credit_vol_risk_state_context,Rates/Credit/Vol,interaction_reject,0.5150968945934143,0.9523822239660708,0.8039048269821158,0.7374220083547924,0.5714285714285714,0.2446912867040044,3.2937493616331768
base_macro_hmm,HMM,negative_control,0.5465883753545951,0.9980395007395247,1.8146708546369017,0.7054665825486613,0.5714285714285714,0.388002671993425,2.737829784916381
base_macro_xsec_sector_gated_context,XSec/Sector Gate,candidate_reject,0.6342036868114693,0.9714127983406132,1.4635104075237717,0.8243458691428103,0.5952380952380952,0.2227345283848175,3.062156460568899
base_macro_exogenous_plus,Exog+,historical,0.7911333695406451,1.1508579157936694,2.0444119120418547,1.3433978745640733,0.5952380952380952,0.2629236769973941,2.787361901198653
base_macro_sector_relative_context,Sector,candidate_keep,0.8503492237838679,1.2000987399975525,2.324392290548427,1.617288720510933,0.6666666666666666,0.4057724306317466,3.09176072360652
base_macro_analyst_or_fund_revision_features,Analyst,candidate_reject,0.884806470939481,1.11060768674064,1.980467234485628,0.8259380634039004,0.5714285714285714,0.2972513432321153,3.3455993415303387
base,Base,historical,0.9435215843160067,1.018800173420387,2.3843937574775764,0.9881759805236373,0.5714285714285714,0.3014569729298419,2.8788633385430944
base_macro_xsec_dispersion_correlation_regime,XSec,candidate_keep,1.0504700633750237,1.0702184148217992,2.6454729192981863,1.1259682906517794,0.5238095238095238,0.4728677844320292,3.263948208984236
base_macro_credit_stress_proxies,Credit,candidate_top_tier,1.0708713254120956,1.295586201269717,1.0682732252672356,1.186202566232978,0.5952380952380952,0.4467838018484892,2.946568239227167
base_macro_rates_term_structure_lsc,Rates,candidate_top_tier,1.0974064253926683,1.2647025796826075,2.311667089196068,1.529787648107511,0.6428571428571429,0.3236250221010521,2.914328025869602
base_macro_gru,GRU,negative_control,1.1057603787066772,1.1255194749099355,2.667407597565641,1.3540480962428454,0.5952380952380952,0.3894519965233588,3.042474527737272
base_macro_xsec_sector_complementarity_v2,XSec/Sector v2,interaction_near_miss,1.1347177683242538,1.1642534275116352,2.78518904556857,1.200621347422265,0.6428571428571429,0.4165316633534565,3.129006483736174
base_macro_vol_term_or_implied_vol_proxy,Vol Proxy,candidate_top_tier,1.1404712548730336,1.1547089880123218,1.9797345983343484,1.4060542782895407,0.5952380952380952,0.3603362970262342,3.216737689473519
base_macro,Base+Macro,historical,1.3378153596148783,1.2158120055689512,3.2621823993744803,1.4778514672043481,0.6190476190476191,0.4206679918701926,3.094872294292097
