feature_set,mean_sharpe_delta_vs_base_macro,p_value,short_label,family_group
base_macro_xsec_sector_gated_context,-0.244399207228338,0.0625,XSec/Sector Gate,candidate_reject
base_macro_hmm,-0.2177725048294265,0.0985,HMM,negative_control
base,-0.1970118321485641,0.124,Base,historical
base_macro_breadth_internal_structure,-0.1508372790215209,0.2577,Breadth,candidate_low_priority
base_macro_xsec_dispersion_correlation_regime,-0.1455935907471519,0.3234,XSec,candidate_keep
base_macro_analyst_or_fund_revision_features,-0.1052043188283113,0.4561,Analyst,candidate_reject
base_macro_gru,-0.0902925306590159,0.4568,GRU,negative_control
base_macro_exogenous_plus,-0.0649540897752819,0.6371,Exog+,historical
base_macro_vol_term_or_implied_vol_proxy,-0.0611030175566296,0.6962,Vol Proxy,candidate_top_tier
base_macro_sector_relative_context,-0.0157132655713989,0.9096,Sector,candidate_keep
base_macro_rates_term_structure_lsc,0.0488905741136559,0.6619,Rates,candidate_top_tier
base_macro_credit_stress_proxies,0.0797741957007656,0.5619,Credit,candidate_top_tier
