selection_rule,selection_rule_description,score,validation_sharpe_quantile,validation_sharpe_quantile_level,validation_turnover_median,validation_max_drawdown_median,retention_ratio_median,generalization_ratio_median,n_runs_in_score,n_folds_in_score,n_seeds_in_score,validation_sharpe_median,test_sharpe_median,test_return_pct_median,test_max_drawdown_median,test_turnover_median,seed_count,run_count,feature_set,feature_family,is_negative_control,feature_set_description,fold_id,selected_by_rule
sharpe_only,Baseline rule: median validation Sharpe only.,2.6064004159962253,2.6064004159962253,0.5,11.661290322580646,-0.036186416984001046,0.5424100809513044,2.6924494011223215,3,1,3,2.6064004159962253,1.4712339529757141,5.913572662520594,-0.06718967147233523,11.655737704918034,3,3,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,Macro baseline plus lagged point-in-time fundamental revision proxy features.,fold_01,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,1.4895974238552017,2.145034773952236,0.25,11.661290322580646,-0.036186416984001046,0.5424100809513044,2.6924494011223215,3,1,3,2.6064004159962253,1.4712339529757141,5.913572662520594,-0.06718967147233523,11.655737704918034,3,3,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,Macro baseline plus lagged point-in-time fundamental revision proxy features.,fold_01,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,2.029067354261376,2.145034773952236,0.25,11.661290322580646,-0.036186416984001046,0.5424100809513044,2.6924494011223215,3,1,3,2.6064004159962253,1.4712339529757141,5.913572662520594,-0.06718967147233523,11.655737704918034,3,3,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,Macro baseline plus lagged point-in-time fundamental revision proxy features.,fold_01,True
sharpe_only,Baseline rule: median validation Sharpe only.,0.09737701817249535,0.09737701817249535,0.5,10.9375,-0.051264227621209635,8.01504860183161,0.11293180024349529,3,1,3,0.09737701817249535,0.7804815333539902,1.698859910442363,-0.029849389356136458,11.11111111111111,3,3,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,Macro baseline plus lagged point-in-time fundamental revision proxy features.,fold_02,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,-0.5556950547418454,0.09370840050057382,0.25,10.9375,-0.051264227621209635,8.01504860183161,0.11293180024349529,3,1,3,0.09737701817249535,0.7804815333539902,1.698859910442363,-0.029849389356136458,11.11111111111111,3,3,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,Macro baseline plus lagged point-in-time fundamental revision proxy features.,fold_02,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,1.4650068657525814,0.09370840050057382,0.25,10.9375,-0.051264227621209635,8.01504860183161,0.11293180024349529,3,1,3,0.09737701817249535,0.7804815333539902,1.698859910442363,-0.029849389356136458,11.11111111111111,3,3,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,Macro baseline plus lagged point-in-time fundamental revision proxy features.,fold_02,True
sharpe_only,Baseline rule: median validation Sharpe only.,5.776060371578548,5.776060371578548,0.5,9.67741935483871,-0.01959305359814134,0.2665884857081679,6.927960830878574,3,1,3,5.776060371578548,1.5398311878180826,2.9906476370869184,-0.040047208828834946,9.836065573770492,3,3,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,Macro baseline plus lagged point-in-time fundamental revision proxy features.,fold_03,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,5.014924543421149,5.537981618359367,0.25,9.67741935483871,-0.01959305359814134,0.2665884857081679,6.927960830878574,3,1,3,5.776060371578548,1.5398311878180826,2.9906476370869184,-0.040047208828834946,9.836065573770492,3,3,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,Macro baseline plus lagged point-in-time fundamental revision proxy features.,fold_03,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,6.120765789479977,5.537981618359367,0.25,9.67741935483871,-0.01959305359814134,0.2665884857081679,6.927960830878574,3,1,3,5.776060371578548,1.5398311878180826,2.9906476370869184,-0.040047208828834946,9.836065573770492,3,3,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,Macro baseline plus lagged point-in-time fundamental revision proxy features.,fold_03,True
sharpe_only,Baseline rule: median validation Sharpe only.,3.4942112327689197,3.4942112327689197,0.5,16.714285714285715,-0.020412198090809852,1.4734251194479153,3.366466797843689,3,1,3,3.4942112327689197,5.552818467566703,9.938223481943709,-0.02171965774653184,16.182539682539684,3,3,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,Macro baseline plus lagged point-in-time fundamental revision proxy features.,fold_04,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,2.539586778277371,3.4161254601732765,0.25,16.714285714285715,-0.020412198090809852,1.4734251194479153,3.366466797843689,3,1,3,3.4942112327689197,5.552818467566703,9.938223481943709,-0.02171965774653184,16.182539682539684,3,3,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,Macro baseline plus lagged point-in-time fundamental revision proxy features.,fold_04,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,3.412913077815903,3.4161254601732765,0.25,16.714285714285715,-0.020412198090809852,1.4734251194479153,3.366466797843689,3,1,3,3.4942112327689197,5.552818467566703,9.938223481943709,-0.02171965774653184,16.182539682539684,3,3,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,Macro baseline plus lagged point-in-time fundamental revision proxy features.,fold_04,True
sharpe_only,Baseline rule: median validation Sharpe only.,6.943530212683194,6.943530212683194,0.5,10.483870967741936,-0.008107465058784014,-0.12185591534424035,6.3594849096929496,3,1,3,6.943530212683194,-0.7079891558133726,-4.364329149822199,-0.10891577194985214,10.833333333333334,3,3,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,Macro baseline plus lagged point-in-time fundamental revision proxy features.,fold_05,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,5.711608297190395,6.2520167756950595,0.25,10.483870967741936,-0.008107465058784014,-0.12185591534424035,6.3594849096929496,3,1,3,6.943530212683194,-0.7079891558133726,-4.364329149822199,-0.10891577194985214,10.833333333333334,3,3,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,Macro baseline plus lagged point-in-time fundamental revision proxy features.,fold_05,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,6.635067054808276,6.2520167756950595,0.25,10.483870967741936,-0.008107465058784014,-0.12185591534424035,6.3594849096929496,3,1,3,6.943530212683194,-0.7079891558133726,-4.364329149822199,-0.10891577194985214,10.833333333333334,3,3,base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,Macro baseline plus lagged point-in-time fundamental revision proxy features.,fold_05,True
