selection_rule,selection_rule_description,score,validation_sharpe_quantile,validation_sharpe_quantile_level,validation_turnover_median,validation_max_drawdown_median,retention_ratio_median,generalization_ratio_median,n_runs_in_score,n_folds_in_score,n_seeds_in_score,validation_sharpe_median,test_sharpe_median,test_return_pct_median,test_max_drawdown_median,test_turnover_median,seed_count,run_count,feature_set,feature_family,is_negative_control,feature_set_description,fold_id,selected_by_rule
sharpe_only,Baseline rule: median validation Sharpe only.,2.2378241908947056,2.2378241908947056,0.5,10.483870967741936,-0.04750170533626308,0.6718190594279058,2.665159582010831,3,1,3,2.2378241908947056,1.41968100777753,5.509756662327825,-0.07539835820928653,10.655737704918034,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_01,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,1.5399601326032368,2.15915709166286,0.25,10.483870967741936,-0.04750170533626308,0.6718190594279058,2.665159582010831,3,1,3,2.2378241908947056,1.41968100777753,5.509756662327825,-0.07539835820928653,10.655737704918034,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_01,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,2.107688834761838,2.15915709166286,0.25,10.483870967741936,-0.04750170533626308,0.6718190594279058,2.665159582010831,3,1,3,2.2378241908947056,1.41968100777753,5.509756662327825,-0.07539835820928653,10.655737704918034,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_01,True
sharpe_only,Baseline rule: median validation Sharpe only.,0.05310813876604646,0.05310813876604646,0.5,8.484375,-0.04917664750426842,-9.460858613165835,0.049916269961605086,3,1,3,0.05310813876604646,-0.502448592073957,-1.2563294100715439,-0.04163988909239358,8.412698412698413,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_02,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,-0.483890168658786,0.03868187634975091,0.25,8.484375,-0.04917664750426842,-9.460858613165835,0.049916269961605086,3,1,3,0.05310813876604646,-0.502448592073957,-1.2563294100715439,-0.04163988909239358,8.412698412698413,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_02,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,-2.841617381456004,0.03868187634975091,0.25,8.484375,-0.04917664750426842,-9.460858613165835,0.049916269961605086,3,1,3,0.05310813876604646,-0.502448592073957,-1.2563294100715439,-0.04163988909239358,8.412698412698413,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_02,True
sharpe_only,Baseline rule: median validation Sharpe only.,5.548137229863896,5.548137229863896,0.5,13.048387096774194,-0.021866620053319852,0.3088979973284534,7.139773437554029,3,1,3,5.548137229863896,1.7705385918175647,3.838075409398467,-0.039713887298831074,13.254098360655737,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_03,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,4.805264884215106,5.501417479160455,0.25,13.048387096774194,-0.021866620053319852,0.3088979973284534,7.139773437554029,3,1,3,5.548137229863896,1.7705385918175647,3.838075409398467,-0.039713887298831074,13.254098360655737,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_03,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,5.953455399180324,5.501417479160455,0.25,13.048387096774194,-0.021866620053319852,0.3088979973284534,7.139773437554029,3,1,3,5.548137229863896,1.7705385918175647,3.838075409398467,-0.039713887298831074,13.254098360655737,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_03,True
sharpe_only,Baseline rule: median validation Sharpe only.,3.3527921577475746,3.3527921577475746,0.5,12.698412698412698,-0.018230263484617537,0.970963885577964,3.593331228566975,3,1,3,3.3527921577475746,4.6604240679219275,7.8192532221015965,-0.01645597090660611,12.698412698412698,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_04,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,2.464954119906799,3.1363352817966685,0.25,12.698412698412698,-0.018230263484617537,0.970963885577964,3.593331228566975,3,1,3,3.3527921577475746,4.6604240679219275,7.8192532221015965,-0.01645597090660611,12.698412698412698,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_04,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,3.2466947755863362,3.1363352817966685,0.25,12.698412698412698,-0.018230263484617537,0.970963885577964,3.593331228566975,3,1,3,3.3527921577475746,4.6604240679219275,7.8192532221015965,-0.01645597090660611,12.698412698412698,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_04,True
sharpe_only,Baseline rule: median validation Sharpe only.,6.1676639237121575,6.1676639237121575,0.5,13.209677419354838,-0.006944772314366077,-0.04609936025732689,6.303050275741875,3,1,3,6.1676639237121575,-0.29362028251497113,-2.2845172434425187,-0.09332321778355879,14.866666666666667,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_05,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,5.102067274280984,5.776440689877457,0.25,13.209677419354838,-0.006944772314366077,-0.04609936025732689,6.303050275741875,3,1,3,6.1676639237121575,-0.29362028251497113,-2.2845172434425187,-0.09332321778355879,14.866666666666667,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_05,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,6.035999975577933,5.776440689877457,0.25,13.209677419354838,-0.006944772314366077,-0.04609936025732689,6.303050275741875,3,1,3,6.1676639237121575,-0.29362028251497113,-2.2845172434425187,-0.09332321778355879,14.866666666666667,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_05,True
sharpe_only,Baseline rule: median validation Sharpe only.,1.2566691208202543,1.2566691208202543,0.5,14.063492063492063,-0.04291090977212386,3.544538028429694,1.1298944268035647,3,1,3,1.2566691208202543,4.212699065117369,8.58073001756441,-0.021075496963195772,13.698412698412698,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_06,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,0.390180455335167,1.179176878054018,0.25,14.063492063492063,-0.04291090977212386,3.544538028429694,1.1298944268035647,3,1,3,1.2566691208202543,4.212699065117369,8.58073001756441,-0.021075496963195772,13.698412698412698,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_06,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,1.445799126463125,1.179176878054018,0.25,14.063492063492063,-0.04291090977212386,3.544538028429694,1.1298944268035647,3,1,3,1.2566691208202543,4.212699065117369,8.58073001756441,-0.021075496963195772,13.698412698412698,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_06,True
sharpe_only,Baseline rule: median validation Sharpe only.,-1.1723543187565542,-1.1723543187565542,0.5,11.475409836065573,-0.14583574808035793,-2.3812653425157926,-1.13188162992412,3,1,3,-1.1723543187565542,4.341272274792842,11.590307035005143,-0.023685144633492805,11.868852459016393,3,3,base_macro_breadth_internal_structure,market_internal_breadth,False,Macro baseline plus causal breadth and participation structure features.,fold_07,True
