run_key,model_name,feature_set,feature_family,is_negative_control,feature_set_description,fold_id,seed,n_features,generalization_ratio,retention_ratio,selected_artifact_type,selection_rule,checkpoint_selection_rule,train_sharpe,train_return_pct,train_max_drawdown,train_turnover,validation_sharpe,validation_return_pct,validation_max_drawdown,validation_turnover,test_sharpe,test_return_pct,test_max_drawdown,test_turnover,robust_selection_score,selected_artifact_score
base_macro_breadth_internal_structure__fold_01__seed42,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_01,42,20,2.665159582010831,0.6718190594279058,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.9448743225162769,115.70545343249488,-0.14728255313492944,1.0742539902845247,2.518240854450248,9.300260011396254,-0.04750170533626308,9.008064516129032,1.6918022022496912,6.886657078845548,-0.07539835820928653,9.28688524590164,2.4452150256370713,2.4452150256370713
base_macro_breadth_internal_structure__fold_01__seed123,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_01,123,20,3.1630194452554914,0.6823781959742371,best_model,checkpoint_robust_score,checkpoint_robust_score,0.6577544110744359,70.89721113664824,-0.20802106716371382,0.63705759888966,2.0804899924310147,7.765625794509745,-0.044799142762130595,13.193548387096774,1.41968100777753,5.509756662327825,-0.06689270585600093,13.024590163934427,2.0254320111645825,2.0254320111645825
base_macro_breadth_internal_structure__fold_01__seed999,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_01,999,20,2.570286014921531,0.5054048640480988,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.8706518176978155,110.33241440814825,-0.22788614639373184,0.4718945176960444,2.2378241908947056,8.420814311627023,-0.04817508699065187,10.483870967741936,1.1310072309626855,4.590615811614818,-0.07876263528557004,10.655737704918034,2.1299029084121677,2.1299029084121677
base_macro_breadth_internal_structure__fold_02__seed42,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_02,42,20,0.7760713882794463,-0.6994099181678333,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.8386253194611869,106.98200162727653,-0.13690126817630943,0.40447284345047924,0.6508331159205375,1.8352651673032794,-0.04917664750426842,7.03125,-0.45519913634689907,-1.1597401895233506,-0.04446160047394698,7.142857142857143,0.5002506658286896,0.5002506658286896
base_macro_breadth_internal_structure__fold_02__seed123,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_02,123,20,0.01979788933924347,-28.93424216142661,last_model,checkpoint_robust_score,checkpoint_robust_score,1.2251616077768333,207.5375523004139,-0.15943771360213221,0.7399361022364217,0.024255613933455357,-0.09565223052403482,-0.037529754932398074,14.46875,-0.7018178073246707,-1.6138018837875023,-0.04163988909239358,14.531746031746032,-1.1163226981362315,-1.1163226981362315
base_macro_breadth_internal_structure__fold_02__seed999,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_02,999,20,0.049916269961605086,-9.460858613165835,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.0639444575265042,182.33946011970463,-0.19763711055814814,0.645367412140575,0.05310813876604646,-0.04254753988530702,-0.06307058256477072,8.484375,-0.502448592073957,-1.2563294100715439,-0.03683473377629698,8.412698412698413,-0.7137396865700291,-0.7137396865700291
base_macro_breadth_internal_structure__fold_03__seed42,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_03,42,20,7.139773437554029,0.4308242902046285,best_model,checkpoint_robust_score,checkpoint_robust_score,0.7639875097109112,101.74069122709777,-0.17371975786664995,0.852333136444182,5.454697728457015,12.015939187734093,-0.013533070236625644,16.233870967741936,2.350016277143293,3.900564728476197,-0.024481643477518023,16.42622950819672,5.49882299962903,5.49882299962903
base_macro_breadth_internal_structure__fold_03__seed123,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_03,123,20,7.844032656464168,0.2797412704320261,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.707306748052833,113.99014909008223,-0.2741464753587396,0.5829887773183697,5.548137229863896,14.743775620457878,-0.021866620053319852,13.048387096774194,1.5520429572133483,3.5455468390518607,-0.042267317008463756,12.950819672131148,5.9446519741484405,5.9446519741484405
base_macro_breadth_internal_structure__fold_03__seed999,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_03,999,20,5.910248139746555,0.3088979973284534,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.969805381560852,170.57886876288762,-0.19099723624564668,1.0017720023626697,5.731790452286224,15.394590822258248,-0.02423125615998656,11.67741935483871,1.7705385918175647,3.838075409398467,-0.039713887298831074,13.254098360655737,5.547388433085703,5.547388433085703
base_macro_breadth_internal_structure__fold_04__seed42,custom_custom,base_macro_breadth_internal_structure,market_internal_breadth,False,Baseline technical and macro features plus causal internal breadth and participation context.,fold_04,42,20,2.980632596842575,0.6878721211994498,best_model,checkpoint_robust_score,checkpoint_robust_score,0.9796170145018307,170.2902893188485,-0.21318690660523887,0.38910291689598236,2.919878405845762,6.113735903332507,-0.024069546586568125,8.73015873015873,2.0085029526735925,3.527358334820585,-0.025934520950574358,8.73015873015873,2.845093436603694,2.845093436603694
