selection_rule,selection_rule_description,score,validation_sharpe_quantile,validation_sharpe_quantile_level,validation_turnover_median,validation_max_drawdown_median,retention_ratio_median,generalization_ratio_median,n_runs_in_score,n_folds_in_score,n_seeds_in_score,validation_sharpe_median,test_sharpe_median,test_return_pct_median,test_max_drawdown_median,test_turnover_median,seed_count,run_count,feature_set,feature_family,is_negative_control,feature_set_description,fold_id,selected_by_rule
sharpe_only,Baseline rule: median validation Sharpe only.,2.3093654789293288,2.3093654789293288,0.5,13.661290322580646,-0.03817788595556315,0.7007471179987216,2.643181702033339,3,1,3,2.3093654789293288,1.5039062946592714,6.311440362347787,-0.06486649786384957,13.78688524590164,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_01,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,1.4577634890652502,2.217183777105409,0.25,13.661290322580646,-0.03817788595556315,0.7007471179987216,2.643181702033339,3,1,3,2.3093654789293288,1.5039062946592714,6.311440362347787,-0.06486649786384957,13.78688524590164,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_01,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,2.0294275238699315,2.217183777105409,0.25,13.661290322580646,-0.03817788595556315,0.7007471179987216,2.643181702033339,3,1,3,2.3093654789293288,1.5039062946592714,6.311440362347787,-0.06486649786384957,13.78688524590164,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_01,True
sharpe_only,Baseline rule: median validation Sharpe only.,0.8484933541301134,0.8484933541301134,0.5,8.59375,-0.037179321982488744,-0.6117157465787105,0.8305852787201443,3,1,3,0.8484933541301134,-0.5190367455887765,-0.035636088295609714,-0.026714057575311534,8.73015873015873,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_02,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,0.17370441724199037,0.6777505612069679,0.25,8.59375,-0.037179321982488744,-0.6117157465787105,0.8305852787201443,3,1,3,0.8484933541301134,-0.5190367455887765,-0.035636088295609714,-0.026714057575311534,8.73015873015873,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_02,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,0.1453632724053343,0.6777505612069679,0.25,8.59375,-0.037179321982488744,-0.6117157465787105,0.8305852787201443,3,1,3,0.8484933541301134,-0.5190367455887765,-0.035636088295609714,-0.026714057575311534,8.73015873015873,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_02,True
sharpe_only,Baseline rule: median validation Sharpe only.,5.019291411950522,5.019291411950522,0.5,12.266129032258064,-0.02156628262930771,0.3177536420096912,6.444970411687615,3,1,3,5.019291411950522,1.5948981264552435,3.0634103065832585,-0.035883055394705154,12.795081967213115,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_03,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,3.84850274800533,4.504941764876849,0.25,12.266129032258064,-0.02156628262930771,0.3177536420096912,6.444970411687615,3,1,3,5.019291411950522,1.5948981264552435,3.0634103065832585,-0.035883055394705154,12.795081967213115,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_03,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,4.894686720260895,4.504941764876849,0.25,12.266129032258064,-0.02156628262930771,0.3177536420096912,6.444970411687615,3,1,3,5.019291411950522,1.5948981264552435,3.0634103065832585,-0.035883055394705154,12.795081967213115,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_03,True
sharpe_only,Baseline rule: median validation Sharpe only.,4.512778215221689,4.512778215221689,0.5,9.523809523809524,-0.01532338157928903,0.900896219160114,4.372954698150184,3,1,3,4.512778215221689,4.065544832001347,7.800593514690779,-0.01908630464318939,9.523809523809524,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_04,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,3.492957990536771,3.9997952298858253,0.25,9.523809523809524,-0.01532338157928903,0.900896219160114,4.372954698150184,3,1,3,4.512778215221689,4.065544832001347,7.800593514690779,-0.01908630464318939,9.523809523809524,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_04,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,4.374125250049327,3.9997952298858253,0.25,9.523809523809524,-0.01532338157928903,0.900896219160114,4.372954698150184,3,1,3,4.512778215221689,4.065544832001347,7.800593514690779,-0.01908630464318939,9.523809523809524,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_04,True
sharpe_only,Baseline rule: median validation Sharpe only.,6.962585050439376,6.962585050439376,0.5,10.483870967741936,-0.00916902882134274,-0.10059657141521927,6.03344920251205,3,1,3,6.962585050439376,-0.6121493695418713,-3.927877682445524,-0.10834043917644143,10.833333333333334,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_05,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,5.981356511315917,6.523888117345699,0.25,10.483870967741936,-0.00916902882134274,-0.10059657141521927,6.03344920251205,3,1,3,6.962585050439376,-0.6121493695418713,-3.927877682445524,-0.10834043917644143,10.833333333333334,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_05,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,6.861224748838919,6.523888117345699,0.25,10.483870967741936,-0.00916902882134274,-0.10059657141521927,6.03344920251205,3,1,3,6.962585050439376,-0.6121493695418713,-3.927877682445524,-0.10834043917644143,10.833333333333334,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_05,True
sharpe_only,Baseline rule: median validation Sharpe only.,1.7547880543769245,1.7547880543769245,0.5,11.904761904761905,-0.03944343902060543,1.9927274029004345,1.4798925819984978,3,1,3,1.7547880543769245,4.46978908763894,7.799573026728446,-0.015717210689272898,11.904761904761905,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_06,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,0.9955973358263315,1.6697223091056377,0.25,11.904761904761905,-0.03944343902060543,1.9927274029004345,1.4798925819984978,3,1,3,1.7547880543769245,4.46978908763894,7.799573026728446,-0.015717210689272898,11.904761904761905,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_06,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,1.715763073851215,1.6697223091056377,0.25,11.904761904761905,-0.03944343902060543,1.9927274029004345,1.4798925819984978,3,1,3,1.7547880543769245,4.46978908763894,7.799573026728446,-0.015717210689272898,11.904761904761905,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_06,True
sharpe_only,Baseline rule: median validation Sharpe only.,-1.2805114192818976,-1.2805114192818976,0.5,9.229508196721312,-0.15154440062065622,-2.7079708633844803,-1.128331920786534,3,1,3,-1.2805114192818976,3.997558631269049,11.740667354494484,-0.02933797911560876,9.01639344262295,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_07,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,-2.142929529894995,-1.3783653188176173,0.25,9.229508196721312,-0.15154440062065622,-2.7079708633844803,-1.128331920786534,3,1,3,-1.2805114192818976,3.997558631269049,11.740667354494484,-0.02933797911560876,9.01639344262295,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_07,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,-2.989172033859095,-1.3783653188176173,0.25,9.229508196721312,-0.15154440062065622,-2.7079708633844803,-1.128331920786534,3,1,3,-1.2805114192818976,3.997558631269049,11.740667354494484,-0.02933797911560876,9.01639344262295,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_07,True
sharpe_only,Baseline rule: median validation Sharpe only.,2.196634102846148,2.196634102846148,0.5,10.666666666666666,-0.04166610748390287,-0.31634541759835927,1.8980693692841961,3,1,3,2.196634102846148,-0.7687249332030159,-3.246411923195236,-0.06321256060558955,10.817460317460318,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_08,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,1.248450515545274,1.865116063846413,0.25,10.666666666666666,-0.04166610748390287,-0.31634541759835927,1.8980693692841961,3,1,3,2.196634102846148,-0.7687249332030159,-3.246411923195236,-0.06321256060558955,10.817460317460318,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_08,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,1.4540745665383135,1.865116063846413,0.25,10.666666666666666,-0.04166610748390287,-0.31634541759835927,1.8980693692841961,3,1,3,2.196634102846148,-0.7687249332030159,-3.246411923195236,-0.06321256060558955,10.817460317460318,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_08,True
sharpe_only,Baseline rule: median validation Sharpe only.,6.181214109316571,6.181214109316571,0.5,12.096774193548388,-0.016412853790783832,-0.18556872821661774,6.943476593608084,3,1,3,6.181214109316571,-1.1775749987068107,-19.664420405259886,-0.31685573043298365,12.096774193548388,3,3,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Macro baseline plus lag-clean rates, credit, vol proxy, and narrow risk-state gates.",fold_09,True
