run_key,regime_label_exogenous,fold_id,seed,feature_set,feature_family,is_negative_control,selection_rule,selected_model_type,benchmark_id,n_days,mean_daily_return,daily_volatility,volatility,sharpe,max_drawdown,turnover,hit_rate,excess_return_vs_benchmark,insufficient_days_for_sharpe
base_macro_rates_term_structure_lsc__fold_01__seed123,bull_low_vol,fold_01,123,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,checkpoint_robust_score,checkpoint,dow30_equal_weight_rebalance_matched,3,0.0028808566820128037,0.004419320396559672,0.07015453639927344,,-0.0033675474605703304,0.0,0.6666666666666666,-0.001151696577524988,True
base_macro_rates_term_structure_lsc__fold_01__seed123,unknown,fold_01,123,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,checkpoint_robust_score,checkpoint,dow30_equal_weight_rebalance_matched,59,0.0010837602290162886,0.010329908806511611,0.16398221860803455,1.6654706835313147,-0.05748627161174669,12.067796610169491,0.576271186440678,0.0007439338904751754,False
base_macro_rates_term_structure_lsc__fold_01__seed42,bull_low_vol,fold_01,42,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,checkpoint_robust_score,best_model,dow30_equal_weight_rebalance_matched,3,0.005144757480812963,0.004268833073442079,0.06776562420465161,,-0.0008873949960238603,0.0,0.6666666666666666,0.0011122042212751717,True
base_macro_rates_term_structure_lsc__fold_01__seed42,unknown,fold_01,42,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,checkpoint_robust_score,best_model,dow30_equal_weight_rebalance_matched,59,0.0009698434896908429,0.010047943905823427,0.15950616457401479,1.532232688653764,-0.06513365660795256,10.610169491525424,0.576271186440678,0.0006300171511497297,False
base_macro_rates_term_structure_lsc__fold_01__seed999,bull_low_vol,fold_01,999,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,checkpoint_robust_score,checkpoint,dow30_equal_weight_rebalance_matched,3,0.0070162286949455215,0.007024004990872087,0.11150262248114431,,-0.002482526141948216,0.25,0.6666666666666666,0.00298367543540773,True
base_macro_rates_term_structure_lsc__fold_01__seed999,unknown,fold_01,999,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,checkpoint_robust_score,checkpoint,dow30_equal_weight_rebalance_matched,59,0.0008440749963505846,0.011437454623215106,0.18156396338767877,1.1715259741613568,-0.06284738951982483,10.966101694915254,0.5084745762711864,0.0005042486578094714,False
base_macro_rates_term_structure_lsc__fold_02__seed123,bear_high_vol,fold_02,123,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,checkpoint_robust_score,checkpoint,dow30_equal_weight_rebalance_matched,4,0.003307520449807172,0.006316443641946117,0.10027043428166722,,-0.007295743734821447,1.625,0.75,0.0004774714264769288,True
base_macro_rates_term_structure_lsc__fold_02__seed123,bull_high_vol,fold_02,123,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,checkpoint_robust_score,checkpoint,dow30_equal_weight_rebalance_matched,1,-0.004424640759081333,0.0,0.0,,0.0,,0.0,-0.001265961804859808,True
base_macro_rates_term_structure_lsc__fold_02__seed123,unknown,fold_02,123,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,checkpoint_robust_score,checkpoint,dow30_equal_weight_rebalance_matched,59,-4.9349280601934197e-05,0.005598840182713726,0.08887883252313572,-0.13992104034951455,-0.03550707891865701,9.559322033898304,0.5423728813559322,-0.0005333852122145628,False
base_macro_rates_term_structure_lsc__fold_02__seed42,bear_high_vol,fold_02,42,base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,checkpoint_robust_score,best_model,dow30_equal_weight_rebalance_matched,4,0.0021784705543224925,0.00732888822116377,0.11634249371873928,,-0.010306822255049863,0.0,0.75,-0.0006515784690077507,True
