selection_rule,selection_rule_description,score,validation_sharpe_quantile,validation_sharpe_quantile_level,validation_turnover_median,validation_max_drawdown_median,retention_ratio_median,generalization_ratio_median,n_runs_in_score,n_folds_in_score,n_seeds_in_score,validation_sharpe_median,test_sharpe_median,test_return_pct_median,test_max_drawdown_median,test_turnover_median,seed_count,run_count,feature_set,feature_family,is_negative_control,feature_set_description,fold_id,selected_by_rule
sharpe_only,Baseline rule: median validation Sharpe only.,2.7031297941025825,2.7031297941025825,0.5,11.290322580645162,-0.04192219775667616,0.5492001803226001,2.5641872301240305,3,1,3,2.7031297941025825,1.6399088747454704,6.0199034419891495,-0.0700011368007889,11.475409836065573,3,3,base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,Macro baseline plus lag-clean implied-volatility term-structure proxy features.,fold_01,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,1.8667549883359356,2.515115512881546,0.25,11.290322580645162,-0.04192219775667616,0.5492001803226001,2.5641872301240305,3,1,3,2.7031297941025825,1.6399088747454704,6.0199034419891495,-0.0700011368007889,11.475409836065573,3,3,base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,Macro baseline plus lag-clean implied-volatility term-structure proxy features.,fold_01,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,2.3886831179351904,2.515115512881546,0.25,11.290322580645162,-0.04192219775667616,0.5492001803226001,2.5641872301240305,3,1,3,2.7031297941025825,1.6399088747454704,6.0199034419891495,-0.0700011368007889,11.475409836065573,3,3,base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,Macro baseline plus lag-clean implied-volatility term-structure proxy features.,fold_01,True
sharpe_only,Baseline rule: median validation Sharpe only.,0.38893634644386715,0.38893634644386715,0.5,10.6328125,-0.04805030137279154,1.0878886951318365,0.3831000652037954,3,1,3,0.38893634644386715,0.6998033655380408,1.4963068951328484,-0.031338758931457655,10.626984126984127,3,3,base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,Macro baseline plus lag-clean implied-volatility term-structure proxy features.,fold_02,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,-0.32598994539539095,0.3017512823501921,0.25,10.6328125,-0.04805030137279154,1.0878886951318365,0.3831000652037954,3,1,3,0.38893634644386715,0.6998033655380408,1.4963068951328484,-0.031338758931457655,10.626984126984127,3,3,base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,Macro baseline plus lag-clean implied-volatility term-structure proxy features.,fold_02,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,0.003447238168137523,0.3017512823501921,0.25,10.6328125,-0.04805030137279154,1.0878886951318365,0.3831000652037954,3,1,3,0.38893634644386715,0.6998033655380408,1.4963068951328484,-0.031338758931457655,10.626984126984127,3,3,base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,Macro baseline plus lag-clean implied-volatility term-structure proxy features.,fold_02,True
sharpe_only,Baseline rule: median validation Sharpe only.,5.446416339356417,5.446416339356417,0.5,15.790322580645162,-0.021828322713473902,0.34472350463264056,6.613553056874897,3,1,3,5.446416339356417,1.877507728191421,3.3971113354421822,-0.03250024752672387,15.295081967213115,3,3,base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,Macro baseline plus lag-clean implied-volatility term-structure proxy features.,fold_03,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,4.290876573022093,5.124049347481299,0.25,15.790322580645162,-0.021828322713473902,0.34472350463264056,6.613553056874897,3,1,3,5.446416339356417,1.877507728191421,3.3971113354421822,-0.03250024752672387,15.295081967213115,3,3,base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,Macro baseline plus lag-clean implied-volatility term-structure proxy features.,fold_03,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,5.369090407711488,5.124049347481299,0.25,15.790322580645162,-0.021828322713473902,0.34472350463264056,6.613553056874897,3,1,3,5.446416339356417,1.877507728191421,3.3971113354421822,-0.03250024752672387,15.295081967213115,3,3,base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,Macro baseline plus lag-clean implied-volatility term-structure proxy features.,fold_03,True
sharpe_only,Baseline rule: median validation Sharpe only.,4.569759473263523,4.569759473263523,0.5,11.11111111111111,-0.015865873363305583,1.0859573137637497,3.688905431014207,3,1,3,4.569759473263523,3.8463123870430804,7.067500341878152,-0.016099256718456356,11.11111111111111,3,3,base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,Macro baseline plus lag-clean implied-volatility term-structure proxy features.,fold_04,True
