selection_rule,selection_rule_description,score,validation_sharpe_quantile,validation_sharpe_quantile_level,validation_turnover_median,validation_max_drawdown_median,retention_ratio_median,generalization_ratio_median,n_runs_in_score,n_folds_in_score,n_seeds_in_score,validation_sharpe_median,test_sharpe_median,test_return_pct_median,test_max_drawdown_median,test_turnover_median,seed_count,run_count,feature_set,feature_family,is_negative_control,feature_set_description,fold_id,selected_by_rule
sharpe_only,Baseline rule: median validation Sharpe only.,2.3811499603838837,2.3811499603838837,0.5,17.225806451612904,-0.037121889245317896,0.8422341986579822,2.6457180729155794,3,1,3,2.3811499603838837,2.0054859287684064,7.497108972777355,-0.05977170572804069,17.24590163934426,3,3,base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,Macro baseline plus causal cross-sectional dispersion/correlation regime features.,fold_01,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,1.3718074130829774,2.3073415141542584,0.25,17.225806451612904,-0.037121889245317896,0.8422341986579822,2.6457180729155794,3,1,3,2.3811499603838837,2.0054859287684064,7.497108972777355,-0.05977170572804069,17.24590163934426,3,3,base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,Macro baseline plus causal cross-sectional dispersion/correlation regime features.,fold_01,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,1.9792236736848097,2.3073415141542584,0.25,17.225806451612904,-0.037121889245317896,0.8422341986579822,2.6457180729155794,3,1,3,2.3811499603838837,2.0054859287684064,7.497108972777355,-0.05977170572804069,17.24590163934426,3,3,base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,Macro baseline plus causal cross-sectional dispersion/correlation regime features.,fold_01,True
sharpe_only,Baseline rule: median validation Sharpe only.,0.15106686125078023,0.15106686125078023,0.5,8.59375,-0.046312154853780485,5.679450071885023,0.16188846884331892,3,1,3,0.15106686125078023,-1.283082557221676,-3.110279140230554,-0.047588726870873566,8.73015873015873,3,3,base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,Macro baseline plus causal cross-sectional dispersion/correlation regime features.,fold_02,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,-0.4819379104248537,0.04037389928270732,0.25,8.59375,-0.046312154853780485,5.679450071885023,0.16188846884331892,3,1,3,0.15106686125078023,-1.283082557221676,-3.110279140230554,-0.047588726870873566,8.73015873015873,3,3,base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,Macro baseline plus causal cross-sectional dispersion/correlation regime features.,fold_02,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,0.9622078778729002,0.04037389928270732,0.25,8.59375,-0.046312154853780485,5.679450071885023,0.16188846884331892,3,1,3,0.15106686125078023,-1.283082557221676,-3.110279140230554,-0.047588726870873566,8.73015873015873,3,3,base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,Macro baseline plus causal cross-sectional dispersion/correlation regime features.,fold_02,True
sharpe_only,Baseline rule: median validation Sharpe only.,4.724699810796907,4.724699810796907,0.5,11.290322580645162,-0.02483446957385327,0.5066708276696528,5.943104706365699,3,1,3,4.724699810796907,2.4133321692883003,4.872170469698767,-0.03808464392942612,11.475409836065573,3,3,base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,Macro baseline plus causal cross-sectional dispersion/correlation regime features.,fold_03,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,3.667211813391999,4.281396881571964,0.25,11.290322580645162,-0.02483446957385327,0.5066708276696528,5.943104706365699,3,1,3,4.724699810796907,2.4133321692883003,4.872170469698767,-0.03808464392942612,11.475409836065573,3,3,base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,Macro baseline plus causal cross-sectional dispersion/correlation regime features.,fold_03,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,4.685345226264267,4.281396881571964,0.25,11.290322580645162,-0.02483446957385327,0.5066708276696528,5.943104706365699,3,1,3,4.724699810796907,2.4133321692883003,4.872170469698767,-0.03808464392942612,11.475409836065573,3,3,base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,Macro baseline plus causal cross-sectional dispersion/correlation regime features.,fold_03,True
sharpe_only,Baseline rule: median validation Sharpe only.,4.34530676899639,4.34530676899639,0.5,12.698412698412698,-0.015074420072278216,1.0003547497402532,3.684777424385963,3,1,3,4.34530676899639,4.346848265444012,7.225770109859875,-0.018531869885904828,12.698412698412698,3,3,base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,Macro baseline plus causal cross-sectional dispersion/correlation regime features.,fold_04,True
