selection_rule,selection_rule_description,score,validation_sharpe_quantile,validation_sharpe_quantile_level,validation_turnover_median,validation_max_drawdown_median,retention_ratio_median,generalization_ratio_median,n_runs_in_score,n_folds_in_score,n_seeds_in_score,validation_sharpe_median,test_sharpe_median,test_return_pct_median,test_max_drawdown_median,test_turnover_median,seed_count,run_count,feature_set,feature_family,is_negative_control,feature_set_description,fold_id,selected_by_rule
sharpe_only,Baseline rule: median validation Sharpe only.,2.685821949453997,2.685821949453997,0.5,13.629032258064516,-0.038543755614230624,0.7190902761792954,2.671108615884049,3,1,3,2.685821949453997,1.8184695785412963,6.593350225720784,-0.06662616957319634,13.934426229508198,3,3,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Macro baseline plus redesigned causal xsec-sector complementarity v2 features.,fold_01,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,1.8351707629677285,2.5937098870994157,0.25,13.629032258064516,-0.038543755614230624,0.7190902761792954,2.671108615884049,3,1,3,2.685821949453997,1.8184695785412963,6.593350225720784,-0.06662616957319634,13.934426229508198,3,3,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Macro baseline plus redesigned causal xsec-sector complementarity v2 features.,fold_01,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,2.4156096243951595,2.5937098870994157,0.25,13.629032258064516,-0.038543755614230624,0.7190902761792954,2.671108615884049,3,1,3,2.685821949453997,1.8184695785412963,6.593350225720784,-0.06662616957319634,13.934426229508198,3,3,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Macro baseline plus redesigned causal xsec-sector complementarity v2 features.,fold_01,True
sharpe_only,Baseline rule: median validation Sharpe only.,0.27065346639295873,0.27065346639295873,0.5,14.40625,-0.052775900029885636,3.5848839028999846,0.25971520771386586,3,1,3,0.27065346639295873,0.5264908364214981,1.1033328073551507,-0.034161828861581145,12.507936507936508,3,3,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Macro baseline plus redesigned causal xsec-sector complementarity v2 features.,fold_02,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,-0.6171055045312881,0.20875879552848325,0.25,14.40625,-0.052775900029885636,3.5848839028999846,0.25971520771386586,3,1,3,0.27065346639295873,0.5264908364214981,1.1033328073551507,-0.034161828861581145,12.507936507936508,3,3,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Macro baseline plus redesigned causal xsec-sector complementarity v2 features.,fold_02,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,0.31807275235078813,0.20875879552848325,0.25,14.40625,-0.052775900029885636,3.5848839028999846,0.25971520771386586,3,1,3,0.27065346639295873,0.5264908364214981,1.1033328073551507,-0.034161828861581145,12.507936507936508,3,3,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Macro baseline plus redesigned causal xsec-sector complementarity v2 features.,fold_02,True
sharpe_only,Baseline rule: median validation Sharpe only.,5.223940910355951,5.223940910355951,0.5,12.903225806451612,-0.023647391267082374,0.3312769951486241,6.835036260130511,3,1,3,5.223940910355951,1.7737681490358865,3.2707307786079998,-0.03169804340211879,13.278688524590164,3,3,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Macro baseline plus redesigned causal xsec-sector complementarity v2 features.,fold_03,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,4.297393917027929,4.989849989884674,0.25,12.903225806451612,-0.023647391267082374,0.3312769951486241,6.835036260130511,3,1,3,5.223940910355951,1.7737681490358865,3.2707307786079998,-0.03169804340211879,13.278688524590164,3,3,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Macro baseline plus redesigned causal xsec-sector complementarity v2 features.,fold_03,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,5.405468604834661,4.989849989884674,0.25,12.903225806451612,-0.023647391267082374,0.3312769951486241,6.835036260130511,3,1,3,5.223940910355951,1.7737681490358865,3.2707307786079998,-0.03169804340211879,13.278688524590164,3,3,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Macro baseline plus redesigned causal xsec-sector complementarity v2 features.,fold_03,True
sharpe_only,Baseline rule: median validation Sharpe only.,4.606722150110473,4.606722150110473,0.5,8.793650793650794,-0.014755148739067248,1.0221303225564695,4.480515239384696,3,1,3,4.606722150110473,4.708670397220451,9.021653348367886,-0.014073920922174743,8.88888888888889,3,3,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Macro baseline plus redesigned causal xsec-sector complementarity v2 features.,fold_04,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,3.7464320595047873,4.215624896665462,0.25,8.793650793650794,-0.014755148739067248,1.0221303225564695,4.480515239384696,3,1,3,4.606722150110473,4.708670397220451,9.021653348367886,-0.014073920922174743,8.88888888888889,3,3,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Macro baseline plus redesigned causal xsec-sector complementarity v2 features.,fold_04,True
