regime,n_days,mean_return,volatility,sharpe,run_key,feature_set,fold_id,seed,regime_mean_return
0.0,45,0.0005357086766379273,0.010814649647058572,0.7863510958668765,base_macro_xsec_sector_complementarity_v2__fold_01__seed42,base_macro_xsec_sector_complementarity_v2,fold_01,42,0.0005357086766379273
1.0,17,0.002500169319660494,0.004029247256329439,9.85021643184219,base_macro_xsec_sector_complementarity_v2__fold_01__seed42,base_macro_xsec_sector_complementarity_v2,fold_01,42,0.002500169319660494
0.0,45,0.0008219831489094664,0.011390331786477428,1.145583658844123,base_macro_xsec_sector_complementarity_v2__fold_01__seed123,base_macro_xsec_sector_complementarity_v2,fold_01,123,0.0008219831489094664
1.0,17,0.0021841796440977114,0.003991446436416981,8.686769945222547,base_macro_xsec_sector_complementarity_v2__fold_01__seed123,base_macro_xsec_sector_complementarity_v2,fold_01,123,0.0021841796440977114
0.0,45,0.0006848675455207632,0.012711240232764952,0.855300902171528,base_macro_xsec_sector_complementarity_v2__fold_01__seed999,base_macro_xsec_sector_complementarity_v2,fold_01,999,0.0006848675455207632
1.0,17,0.0016060852392859593,0.004241792207574117,6.010622755072425,base_macro_xsec_sector_complementarity_v2__fold_01__seed999,base_macro_xsec_sector_complementarity_v2,fold_01,999,0.0016060852392859593
0.0,3,2.9587588466162273e-05,0.00035304853687058126,1.3303791314838571,base_macro_xsec_sector_complementarity_v2__fold_02__seed42,base_macro_xsec_sector_complementarity_v2,fold_02,42,2.9587588466162273e-05
1.0,61,7.873262277803254e-05,0.005722415917349275,0.21841153416372952,base_macro_xsec_sector_complementarity_v2__fold_02__seed42,base_macro_xsec_sector_complementarity_v2,fold_02,42,7.873262277803254e-05
0.0,3,0.00012878992478149165,0.00015562866186644964,13.136890400109499,base_macro_xsec_sector_complementarity_v2__fold_02__seed123,base_macro_xsec_sector_complementarity_v2,fold_02,123,0.00012878992478149165
1.0,61,0.00019039279590555918,0.00583889611256288,0.5176307093053745,base_macro_xsec_sector_complementarity_v2__fold_02__seed123,base_macro_xsec_sector_complementarity_v2,fold_02,123,0.00019039279590555918
0.0,3,9.726005947959433e-05,0.0005719589598144457,2.6994167200301034,base_macro_xsec_sector_complementarity_v2__fold_02__seed999,base_macro_xsec_sector_complementarity_v2,fold_02,999,9.726005947959433e-05
1.0,61,0.0004176380500418511,0.006086339064258953,1.0892916810409965,base_macro_xsec_sector_complementarity_v2__fold_02__seed999,base_macro_xsec_sector_complementarity_v2,fold_02,999,0.0004176380500418511
1.0,62,0.0005336701345031868,0.005421169345354738,1.5627164931651074,base_macro_xsec_sector_complementarity_v2__fold_03__seed42,base_macro_xsec_sector_complementarity_v2,fold_03,42,0.0005336701345031868
1.0,62,0.0006879517463836558,0.004347598559447185,2.5119373972400596,base_macro_xsec_sector_complementarity_v2__fold_03__seed123,base_macro_xsec_sector_complementarity_v2,fold_03,123,0.0006879517463836558
1.0,62,0.0004985302088023935,0.004498066018470697,1.759405417521214,base_macro_xsec_sector_complementarity_v2__fold_03__seed999,base_macro_xsec_sector_complementarity_v2,fold_03,999,0.0004985302088023935
