run_key,model_name,feature_set,feature_family,is_negative_control,feature_set_description,fold_id,seed,n_features,generalization_ratio,retention_ratio,selected_artifact_type,selection_rule,checkpoint_selection_rule,train_sharpe,train_return_pct,train_max_drawdown,train_turnover,validation_sharpe,validation_return_pct,validation_max_drawdown,validation_turnover,test_sharpe,test_return_pct,test_max_drawdown,test_turnover,robust_selection_score,selected_artifact_score
base_macro_xsec_sector_complementarity_v2__fold_01__seed42,custom_custom,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Baseline technical and macro features plus redesigned causal xsec-sector complementarity v2 features.,fold_01,42,34,2.0632854087418107,0.7269232330447768,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.2124342149399034,156.13584163917037,-0.13227560158052754,0.5031228313671062,2.501597824744835,8.74120919534458,-0.038543755614230624,8.35483870967742,1.8184695785412963,6.593350225720784,-0.06662616957319634,8.672131147540984,2.3509441433274487,2.3509441433274487
base_macro_xsec_sector_complementarity_v2__fold_01__seed123,custom_custom,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Baseline technical and macro features plus redesigned causal xsec-sector complementarity v2 features.,fold_01,123,34,2.671108615884049,0.7190902761792954,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.0055083247017562,118.67314862061846,-0.14629635115853423,0.6453851492019431,2.685821949453997,9.786944024319055,-0.03934224425912214,13.629032258064516,1.9313484474012883,7.367171875820522,-0.06539722414239135,13.934426229508198,2.3472143590209913,2.3472143590209913
base_macro_xsec_sector_complementarity_v2__fold_01__seed999,custom_custom,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Baseline technical and macro features plus redesigned causal xsec-sector complementarity v2 features.,fold_01,999,34,3.27530598202643,0.43104689349457737,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.9643418543048115,121.54255927721192,-0.17924560734079586,3.167244968771686,3.158514644123009,11.598633041819962,-0.036520091736475635,28.548387096774192,1.3614679254063535,5.58975510861397,-0.07376994671647841,35.204918032786885,2.1058398973835333,2.1058398973835333
base_macro_xsec_sector_complementarity_v2__fold_02__seed42,custom_custom,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Baseline technical and macro features plus redesigned causal xsec-sector complementarity v2 features.,fold_02,42,34,0.5891435356466553,0.4020164332123356,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.9244849928745629,126.59738588653018,-0.15436216360159127,0.38338658146964855,0.5446543573543929,1.516508060575128,-0.052775900029885636,9.375,0.21896000207716987,0.39149204649466807,-0.0348740182541053,9.523809523809524,0.14388628239567425,0.14388628239567425
base_macro_xsec_sector_complementarity_v2__fold_02__seed123,custom_custom,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Baseline technical and macro features plus redesigned causal xsec-sector complementarity v2 features.,fold_02,123,34,0.18354579435612947,3.5848839028999846,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.8001497674147241,117.53541741303555,-0.23427547435772023,0.8370607028753994,0.14686412466400778,0.2755664549346948,-0.05772538022595042,14.40625,0.5264908364214981,1.1033328073551507,-0.026683195525216363,12.507936507936508,-0.7436298602966926,-0.7436298602966926
base_macro_xsec_sector_complementarity_v2__fold_02__seed999,custom_custom,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Baseline technical and macro features plus redesigned causal xsec-sector complementarity v2 features.,fold_02,999,34,0.25971520771386586,4.006342017073649,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.0421163580499444,166.33247408080624,-0.19951732199068162,0.7789137380191693,0.27065346639295873,0.674651994861053,-0.048373145110312765,16.4921875,1.0843303544767413,2.495473639302226,-0.034161828861581145,15.412698412698413,-0.7379049124981646,-0.7379049124981646
base_macro_xsec_sector_complementarity_v2__fold_03__seed42,custom_custom,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Baseline technical and macro features plus redesigned causal xsec-sector complementarity v2 features.,fold_03,42,34,6.916328147014822,0.3312769951486241,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.6876132780753101,96.97528574984932,-0.1993633380276446,0.7359716479621973,4.755759069413397,11.637797078194057,-0.017312068027945382,17.225806451612904,1.575473574166087,3.2707307786079998,-0.03883161729438034,14.901639344262295,4.889601364516814,4.889601364516814
base_macro_xsec_sector_complementarity_v2__fold_03__seed123,custom_custom,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Baseline technical and macro features plus redesigned causal xsec-sector complementarity v2 features.,fold_03,123,34,5.832329394270178,0.4847764154196704,best_model,checkpoint_robust_score,checkpoint_robust_score,0.8956868786403042,140.47066516242955,-0.1840327475233342,0.3544004725339634,5.223940910355951,11.525934209511956,-0.023647391267082374,9.693548387096774,2.532443348886528,4.2960550199814485,-0.02776225364385665,9.836065573770492,5.263325128768491,5.263325128768491
base_macro_xsec_sector_complementarity_v2__fold_03__seed999,custom_custom,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Baseline technical and macro features plus redesigned causal xsec-sector complementarity v2 features.,fold_03,999,34,6.835036260130511,0.3193020864122221,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.8127449373754586,111.90808843758492,-0.16020480441021656,0.5079740106320142,5.555141117198761,12.817989092947801,-0.02367523715401121,12.903225806451612,1.7737681490358865,3.0749044518349145,-0.03169804340211879,13.278688524590164,5.640036331268302,5.640036331268302
base_macro_xsec_sector_complementarity_v2__fold_04__seed42,custom_custom,base_macro_xsec_sector_complementarity_v2,xsec_sector_complementarity_v2,False,Baseline technical and macro features plus redesigned causal xsec-sector complementarity v2 features.,fold_04,42,34,4.480515239384696,1.0221303225564695,best_model,checkpoint_robust_score,checkpoint_robust_score,1.0281679458684554,185.93363970317918,-0.1851118102922027,0.3109521188772702,4.606722150110473,9.462498329663859,-0.014755148739067248,8.793650793650794,4.708670397220451,9.021653348367886,-0.014073920922174743,8.88888888888889,4.481250457853964,4.481250457853964
