selection_rule,selection_rule_description,score,validation_sharpe_quantile,validation_sharpe_quantile_level,validation_turnover_median,validation_max_drawdown_median,retention_ratio_median,generalization_ratio_median,n_runs_in_score,n_folds_in_score,n_seeds_in_score,validation_sharpe_median,test_sharpe_median,test_return_pct_median,test_max_drawdown_median,test_turnover_median,seed_count,run_count,feature_set,feature_family,is_negative_control,feature_set_description,fold_id,selected_by_rule
sharpe_only,Baseline rule: median validation Sharpe only.,2.306588522715428,2.306588522715428,0.5,13.53225806451613,-0.03684900364979937,0.6194110368951268,2.95146116001538,3,1,3,2.306588522715428,1.712728684218566,7.086752605414559,-0.060675469525042325,13.926229508196721,3,3,base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,Macro baseline plus causal xsec-sector gated interaction context features.,fold_01,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,1.4943681197630256,2.244679030288431,0.25,13.53225806451613,-0.03684900364979937,0.6194110368951268,2.95146116001538,3,1,3,2.306588522715428,1.712728684218566,7.086752605414559,-0.060675469525042325,13.926229508196721,3,3,base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,Macro baseline plus causal xsec-sector gated interaction context features.,fold_01,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,2.0919400529891146,2.244679030288431,0.25,13.53225806451613,-0.03684900364979937,0.6194110368951268,2.95146116001538,3,1,3,2.306588522715428,1.712728684218566,7.086752605414559,-0.060675469525042325,13.926229508196721,3,3,base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,Macro baseline plus causal xsec-sector gated interaction context features.,fold_01,True
sharpe_only,Baseline rule: median validation Sharpe only.,0.6672153975118291,0.6672153975118291,0.5,11.71875,-0.03994839680870221,0.04898705401733203,0.6776846101803954,3,1,3,0.6672153975118291,0.004841203202679632,-0.08764771443707797,-0.035424652295788284,11.904761904761905,3,3,base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,Macro baseline plus causal xsec-sector gated interaction context features.,fold_02,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,-0.28281350705908015,0.3830207865583243,0.25,11.71875,-0.03994839680870221,0.04898705401733203,0.6776846101803954,3,1,3,0.6672153975118291,0.004841203202679632,-0.08764771443707797,-0.035424652295788284,11.904761904761905,3,3,base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,Macro baseline plus causal xsec-sector gated interaction context features.,fold_02,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,-0.16891405202768783,0.3830207865583243,0.25,11.71875,-0.03994839680870221,0.04898705401733203,0.6776846101803954,3,1,3,0.6672153975118291,0.004841203202679632,-0.08764771443707797,-0.035424652295788284,11.904761904761905,3,3,base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,Macro baseline plus causal xsec-sector gated interaction context features.,fold_02,True
sharpe_only,Baseline rule: median validation Sharpe only.,4.687219656441668,4.687219656441668,0.5,12.096774193548388,-0.023486817455075748,0.2936836739635796,6.261026693117849,3,1,3,4.687219656441668,1.3765598893780964,2.519023698197609,-0.038508508664564345,12.295081967213115,3,3,base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,Macro baseline plus causal xsec-sector gated interaction context features.,fold_03,True
robust_q25,25th percentile validation Sharpe with turnover and drawdown penalties.,3.76416661467371,4.415978959261281,0.25,12.096774193548388,-0.023486817455075748,0.2936836739635796,6.261026693117849,3,1,3,4.687219656441668,1.3765598893780964,2.519023698197609,-0.038508508664564345,12.295081967213115,3,3,base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,Macro baseline plus causal xsec-sector gated interaction context features.,fold_03,True
robust_q25_retention,25th percentile validation Sharpe with retention/generalization uplift and turnover/max-drawdown penalties.,4.776741537132282,4.415978959261281,0.25,12.096774193548388,-0.023486817455075748,0.2936836739635796,6.261026693117849,3,1,3,4.687219656441668,1.3765598893780964,2.519023698197609,-0.038508508664564345,12.295081967213115,3,3,base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,Macro baseline plus causal xsec-sector gated interaction context features.,fold_03,True
sharpe_only,Baseline rule: median validation Sharpe only.,4.4040450678764,4.4040450678764,0.5,11.904761904761905,-0.01574979966204615,0.8587498504390455,3.9002124164880474,3,1,3,4.4040450678764,3.781973043365674,6.8070755977583275,-0.015861009768266876,12.015873015873016,3,3,base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,Macro baseline plus causal xsec-sector gated interaction context features.,fold_04,True
