run_name,config_name,seed,es_mode,dropout_p,selected_artifact_type,selected_model_path,selected_validation_sharpe,selected_validation_return_pct,test_sharpe,test_return_pct,test_max_drawdown,best_checkpoint_timestep,best_checkpoint_validation_sharpe,best_checkpoint_validation_return_pct,last_model_validation_sharpe,last_model_validation_return_pct,best_model_validation_sharpe,best_model_validation_return_pct,n_checkpoints_evaluated,test_initial_val,test_final_val,test_annual_return
custom_custom__seed42__es-relaxed__dropout-0.1,custom_custom,42,relaxed,0.1,best_checkpoint_by_validation,./experiments_ablation_v1\custom_custom__seed42__es-relaxed__dropout-0.1\checkpoints\rl_model_45056_steps.zip,1.8984031329307611,5.135869758844369,-0.6651895385729818,-11.833573524251628,-0.1812651344256702,45056,1.8984031329307611,5.135869758844369,0.8158288912940319,2.3072967746685435,0.9090251043634195,2.530876363309509,49,1000000.0,881664.2647574837,-0.1036649064694421
custom_custom__seed123__es-relaxed__dropout-0.1,custom_custom,123,relaxed,0.1,best_checkpoint_by_validation,./experiments_ablation_v1\custom_custom__seed123__es-relaxed__dropout-0.1\checkpoints\rl_model_69632_steps.zip,2.1350283446667366,5.68450207021145,-0.8753022117875874,-13.909618986147542,-0.1794890220187471,69632,2.1350283446667366,5.68450207021145,-0.3743701115515117,-1.2555637296249755,1.7794066583731265,4.915391310641515,40,1000000.0,860903.8101385246,-0.1220337603885579
custom_custom__seed999__es-relaxed__dropout-0.1,custom_custom,999,relaxed,0.1,best_model,./experiments_ablation_v1\custom_custom__seed999__es-relaxed__dropout-0.1\best_model\best_model.zip,2.426214643984896,6.883499670907556,-0.9221292480285612,-15.879786790173068,-0.1875625722126536,90112,2.426214643984896,6.883499670907556,1.1393396880021691,3.317597884121959,2.426214643984896,6.883499670907556,44,1000000.0,841202.1320982693,-0.1395195520488659
custom_finrl__seed42__es-relaxed__dropout-nan,custom_finrl,42,relaxed,,best_model,./experiments_ablation_v1\custom_finrl__seed42__es-relaxed__dropout-nan\best_model\best_model.zip,2.761967073427613,0.2164660639778493,-1.879291753103353,-1.594477237882885,-0.0159658625042674,8192,2.761967073427613,0.2164660639778493,1.2817006008809533,1.1775382085651431,2.761967073427613,0.2164660639778493,38,1000000.0,984055.2276211712,-0.0138700193412327
custom_finrl__seed123__es-relaxed__dropout-nan,custom_finrl,123,relaxed,,best_checkpoint_by_validation,./experiments_ablation_v1\custom_finrl__seed123__es-relaxed__dropout-nan\checkpoints\rl_model_69632_steps.zip,3.4998032849517853,1.420756136459311,-1.6436677251257994,-7.092835386834673,-0.0709283538683452,69632,3.4998032849517853,1.420756136459311,2.3162427654085285,1.189641586681378,3.4114818022760667,1.661066466347938,38,1000000.0,929071.6461316532,-0.0619286720616867
custom_finrl__seed999__es-relaxed__dropout-nan,custom_finrl,999,relaxed,,best_checkpoint_by_validation,./experiments_ablation_v1\custom_finrl__seed999__es-relaxed__dropout-nan\checkpoints\rl_model_200704_steps.zip,2.111369270026892,2.5513375984646647,-1.0813935453646488,-12.22010984514984,-0.1337845829677001,200704,2.111369270026892,2.5513375984646647,1.9700428899150848,2.545207481173861,1.8651485186268764,1.855382885125767,49,1000000.0,877798.9015485016,-0.1070806475913552
finrl_custom__seed42__es-relaxed__dropout-0.1,finrl_custom,42,relaxed,0.1,best_checkpoint_by_validation,./experiments_ablation_v1\finrl_custom__seed42__es-relaxed__dropout-0.1\checkpoints\rl_model_12288_steps.zip,1.6594358854440778,4.5881086707249,-1.0170552573541016,-16.623918273194647,-0.2119701240958116,12288,1.6594358854440778,4.5881086707249,0.5763103468675622,1.6288405487850044,1.618812709581039,4.795628230526794,38,1000000.0,833760.8172680535,-0.1461378351050513
finrl_custom__seed123__es-relaxed__dropout-0.1,finrl_custom,123,relaxed,0.1,best_model,./experiments_ablation_v1\finrl_custom__seed123__es-relaxed__dropout-0.1\best_model\best_model.zip,2.1834048618263897,6.465523845347554,-0.9076432588386844,-15.1963572051255,-0.1959195800397889,90112,2.1834048618263897,6.465523845347554,0.4163532153876154,1.1076444642661665,2.1834048618263897,6.465523845347554,44,1000000.0,848036.427948745,-0.1334479061874645
finrl_custom__seed999__es-relaxed__dropout-0.1,finrl_custom,999,relaxed,0.1,best_model,./experiments_ablation_v1\finrl_custom__seed999__es-relaxed__dropout-0.1\best_model\best_model.zip,1.7463619099397318,5.042570725957818,-0.8473921304206198,-13.89857682425999,-0.1764926018438012,16384,1.7463619099397318,5.042570725957818,0.9731924609624388,2.741012234478357,1.7463619099397318,5.042570725957818,38,1000000.0,861014.2317574001,-0.1219359069277895
finrl_finrl__seed42__es-relaxed__dropout-nan,finrl_finrl,42,relaxed,,best_checkpoint_by_validation,./experiments_ablation_v1\finrl_finrl__seed42__es-relaxed__dropout-nan\checkpoints\rl_model_20480_steps.zip,0.8750668843765735,0.2188613861541455,-2.2900897400592624,-5.646827855011294,-0.060179647944963,20480,0.8750668843765735,0.2188613861541455,0.2232781011800133,0.2214708787005692,0.3973737562465823,0.4119721919586316,49,1000000.0,943531.721449887,-0.0492545100917215
finrl_finrl__seed123__es-relaxed__dropout-nan,finrl_finrl,123,relaxed,,best_checkpoint_by_validation,./experiments_ablation_v1\finrl_finrl__seed123__es-relaxed__dropout-nan\checkpoints\rl_model_61440_steps.zip,2.925036620051157,1.80765383592143,-1.8709440158186768,-11.709140538980822,-0.1170914053898087,61440,2.925036620051157,1.80765383592143,1.7640288831948083,1.872073965150034,2.6404077860210373,2.4895218419178637,49,1000000.0,882908.5946101918,-0.1025657359124215
finrl_finrl__seed999__es-relaxed__dropout-nan,finrl_finrl,999,relaxed,,best_checkpoint_by_validation,./experiments_ablation_v1\finrl_finrl__seed999__es-relaxed__dropout-nan\checkpoints\rl_model_4096_steps.zip,1.8919829952784344,0.0368316608933216,-2.0042887038237773,-0.3552319577354912,-0.0035880874971321,4096,1.8919829952784344,0.0368316608933216,0.7644414736888483,1.0127430789875105,1.6135910490548573,1.681742201756342,49,1000000.0,996447.6804226452,-0.0030875626092021
zhang_custom__seed42__es-relaxed__dropout-0.1,zhang_custom,42,relaxed,0.1,best_checkpoint_by_validation,./experiments_ablation_v1\zhang_custom__seed42__es-relaxed__dropout-0.1\checkpoints\rl_model_4096_steps.zip,1.6157907141669527,4.40841752332195,-1.010557711184102,-16.639540595229217,-0.2133711457537639,4096,1.6157907141669527,4.40841752332195,0.4248556317218868,1.0234269336562465,1.3809987911508657,3.7066483708812825,38,1000000.0,833604.5940477079,-0.1462768622964398
zhang_custom__seed123__es-relaxed__dropout-0.1,zhang_custom,123,relaxed,0.1,best_model,./experiments_ablation_v1\zhang_custom__seed123__es-relaxed__dropout-0.1\best_model\best_model.zip,1.7851333972047272,5.451319651261932,-1.0039068802680082,-17.79625188698456,-0.2069382888671742,24576,1.7851333972047272,5.451319651261932,0.0985228070246919,0.1143382481987309,1.7851333972047272,5.451319651261932,38,1000000.0,822037.4811301545,-0.1565802773596011
zhang_custom__seed999__es-relaxed__dropout-0.1,zhang_custom,999,relaxed,0.1,best_model,./experiments_ablation_v1\zhang_custom__seed999__es-relaxed__dropout-0.1\best_model\best_model.zip,1.682576660259328,4.136237057457337,-0.9397688716687808,-14.62977837599142,-0.1783695206631466,57344,1.682576660259328,4.136237057457337,0.4683736259377713,1.242355183264543,1.682576660259328,4.136237057457337,38,1000000.0,853702.2162400858,-0.1284192332815026
zhang_finrl__seed42__es-relaxed__dropout-nan,zhang_finrl,42,relaxed,,best_model,./experiments_ablation_v1\zhang_finrl__seed42__es-relaxed__dropout-nan\best_model\best_model.zip,2.492026517416479,0.0895090252838182,-1.381717823621726,-0.5913562548310991,-0.0071950834861331,8192,2.492026517416479,0.0895090252838182,0.995952879383004,0.7758906855936054,2.492026517416479,0.0895090252838182,38,1000000.0,994086.437451689,-0.0051406773238121
zhang_finrl__seed123__es-relaxed__dropout-nan,zhang_finrl,123,relaxed,,best_checkpoint_by_validation,./experiments_ablation_v1\zhang_finrl__seed123__es-relaxed__dropout-nan\checkpoints\rl_model_32768_steps.zip,3.3475042954170364,0.9684333802977728,-1.4387997649579851,-4.455267688267838,-0.0462817469949361,32768,3.3475042954170364,0.9684333802977728,2.3332287731147785,1.5817435134038993,3.3447634231087906,0.408902977033998,38,1000000.0,955447.3231173216,-0.0388296915347511
zhang_finrl__seed999__es-relaxed__dropout-nan,zhang_finrl,999,relaxed,,best_model,./experiments_ablation_v1\zhang_finrl__seed999__es-relaxed__dropout-nan\best_model\best_model.zip,1.9988346306267435,0.1897026493191012,-1.437235687181316,-1.4932976064959802,-0.0164749983721056,8192,1.9988346306267435,0.1897026493191012,1.7925705389713855,2.444092439950163,1.9988346306267435,0.1897026493191012,38,1000000.0,985067.0239350402,-0.0129890088502605
