period,strategy,strategy_type,initial_value,final_value,return_pct,annual_return,cumulative_returns,annual_volatility,sharpe_ratio,calmar_ratio,stability,max_drawdown,omega_ratio,sortino_ratio,tail_ratio,daily_value_at_risk,run_name,config_name,seed,es_mode,dropout_p,selected_artifact_type
validation,custom_custom__seed42__es-relaxed__dropout-0.1,RL,1000000.0,1051358.6975884438,5.135869758844369,0.2179913819411241,0.05135869758844258,0.10863076521395698,1.8984031329307614,5.543605254463419,0.1410148792423394,-0.03932303472827704,1.4134812606439846,2.887172548985564,1.4268023879960625,-0.01286783686042252,custom_custom__seed42__es-relaxed__dropout-0.1,custom_custom,42.0,relaxed,0.1,best_checkpoint_by_validation
test,custom_custom__seed42__es-relaxed__dropout-0.1,RL,1000000.0,881664.2647574837,-11.833573524251628,-0.10366490646944215,-0.1183357352425164,0.14849620253949417,-0.6651895385729818,-0.5718965580330678,0.5085333439357514,-0.18126513442567024,0.8837659617364065,-0.8871888597123251,0.8269940184278902,-0.01910073964734461,custom_custom__seed42__es-relaxed__dropout-0.1,custom_custom,42.0,relaxed,0.1,best_checkpoint_by_validation
validation,custom_custom__seed123__es-relaxed__dropout-0.1,RL,1000000.0,1056845.0207021146,5.68450207021145,0.24321005985216515,0.05684502070211361,0.10623980922517481,2.1350283446667366,6.473142117846592,0.18797570264834615,-0.03757217985089958,1.511702152431159,2.9927291933905744,1.2962512323223783,-0.012484858613132397,custom_custom__seed123__es-relaxed__dropout-0.1,custom_custom,123.0,relaxed,0.1,best_checkpoint_by_validation
test,custom_custom__seed123__es-relaxed__dropout-0.1,RL,1000000.0,860903.8101385246,-13.909618986147542,-0.12203376038855795,-0.13909618986147487,0.13825689061982668,-0.8753022117875874,-0.679895399819003,0.6054223374699438,-0.17948902201874717,0.8516624252284416,-1.166744028655432,0.9183643522627526,-0.01789895538733274,custom_custom__seed123__es-relaxed__dropout-0.1,custom_custom,123.0,relaxed,0.1,best_checkpoint_by_validation
validation,custom_custom__seed999__es-relaxed__dropout-0.1,RL,1000000.0,1068834.9967090755,6.883499670907556,0.2996779325283596,0.06883499670907578,0.11237315661821447,2.426214643984896,8.543548693872458,0.370920503013353,-0.035076517178779874,1.549151425818958,3.6877056580665917,1.1767996966751995,-0.013075776663632419,custom_custom__seed999__es-relaxed__dropout-0.1,custom_custom,999.0,relaxed,0.1,best_model
test,custom_custom__seed999__es-relaxed__dropout-0.1,RL,1000000.0,841202.1320982693,-15.879786790173068,-0.1395195520488659,-0.15879786790172945,0.15108911638948955,-0.9221292480285613,-0.743856039096554,0.6673806508288741,-0.18756257221265363,0.8448832130721975,-1.2091468569003652,0.9076534477571158,-0.019588311216597338,custom_custom__seed999__es-relaxed__dropout-0.1,custom_custom,999.0,relaxed,0.1,best_model
validation,custom_finrl__seed42__es-relaxed__dropout-nan,RL,1000000.0,1002164.6606397785,0.2164660639778493,0.008550487849491528,0.002164660639778493,0.0031333698388711965,2.761967073427613,6.855013613812816,0.37544551792859043,-0.0012473334600331559,1.7714562668148555,4.1773556094014515,1.1739582690880066,-0.0003604251745519489,custom_finrl__seed42__es-relaxed__dropout-nan,custom_finrl,42.0,relaxed,,best_model
test,custom_finrl__seed42__es-relaxed__dropout-nan,RL,1000000.0,984055.2276211712,-1.5944772378828853,-0.013870019341232775,-0.015944772378829963,0.0074429247656356765,-1.879291753103353,-0.8687297249068435,0.8280153491194783,-0.01596586250426748,0.6357161160339168,-2.237752610699105,0.8105501590728226,-0.0009932260421153024,custom_finrl__seed42__es-relaxed__dropout-nan,custom_finrl,42.0,relaxed,,best_model
validation,custom_finrl__seed123__es-relaxed__dropout-nan,RL,1000000.0,1014207.5613645931,1.4207561364593113,0.05712038727621693,0.014207561364594001,0.01616236716469216,3.4998032849517853,10.730895463397287,0.4522387507781035,-0.005322984225412743,1.9729714182714255,6.612168106242521,1.5989993808646945,-0.001811802157520287,custom_finrl__seed123__es-relaxed__dropout-nan,custom_finrl,123.0,relaxed,,best_checkpoint_by_validation
test,custom_finrl__seed123__es-relaxed__dropout-nan,RL,1000000.0,929071.6461316532,-7.092835386834673,-0.06192867206168673,-0.07092835386834517,0.03857166102182228,-1.6436677251257994,-0.8731158793934031,0.8144401890151777,-0.07092835386834523,0.6806433523248837,-2.008488697769069,0.6224374117056934,-0.005111155821218909,custom_finrl__seed123__es-relaxed__dropout-nan,custom_finrl,123.0,relaxed,,best_checkpoint_by_validation
validation,custom_finrl__seed999__es-relaxed__dropout-nan,RL,1000000.0,1025513.3759846467,2.5513375984646647,0.10428579146084305,0.025513375984647313,0.04828105099670093,2.1113692700268913,5.038309456912496,0.1322000868891442,-0.020698568111524842,1.5493476954714074,3.5340900853349755,1.3999770594674514,-0.00567832031861166,custom_finrl__seed999__es-relaxed__dropout-nan,custom_finrl,999.0,relaxed,,best_checkpoint_by_validation
test,custom_finrl__seed999__es-relaxed__dropout-nan,RL,1000000.0,877798.9015485016,-12.22010984514984,-0.10708064759135527,-0.12220109845149907,0.10041583735230707,-1.0813935453646488,-0.8003960188537415,0.7249422115376275,-0.13378458296770016,0.7835772949111931,-1.4199997934711135,0.8123533851483542,-0.013082115231283145,custom_finrl__seed999__es-relaxed__dropout-nan,custom_finrl,999.0,relaxed,,best_checkpoint_by_validation
validation,finrl_custom__seed42__es-relaxed__dropout-0.1,RL,1000000.0,1045881.086707249,4.5881086707249,0.19319546347219374,0.04588108670724922,0.11189541184384447,1.6594358854440778,4.358934494637498,0.04780346743725565,-0.044321717545851874,1.353756522517014,2.3610648195001764,1.054174267590924,-0.013360658449306928,finrl_custom__seed42__es-relaxed__dropout-0.1,finrl_custom,42.0,relaxed,0.1,best_checkpoint_by_validation
test,finrl_custom__seed42__es-relaxed__dropout-0.1,RL,1000000.0,833760.8172680535,-16.623918273194647,-0.1461378351050513,-0.16623918273194627,0.14542905438281958,-1.0170552573541016,-0.6894265676751512,0.6709869029215809,-0.21197012409581167,0.8312750257559546,-1.3334390788589654,0.900735535794135,-0.018909280634662004,finrl_custom__seed42__es-relaxed__dropout-0.1,finrl_custom,42.0,relaxed,0.1,best_checkpoint_by_validation
validation,finrl_custom__seed123__es-relaxed__dropout-0.1,RL,1000000.0,1064655.2384534755,6.465523845347554,0.2797802951391981,0.06465523845347532,0.11798183549180359,2.1834048618263897,6.6284590574105104,0.12176728920453406,-0.042208949729637124,1.5399397298989492,3.1281085474141586,1.1270542594695137,-0.013842083484091067,finrl_custom__seed123__es-relaxed__dropout-0.1,finrl_custom,123.0,relaxed,0.1,best_model
test,finrl_custom__seed123__es-relaxed__dropout-0.1,RL,1000000.0,848036.427948745,-15.1963572051255,-0.1334479061874645,-0.151963572051256,0.14650149833213544,-0.9076432588386844,-0.6811361384112953,0.5840000693347244,-0.1959195800397889,0.8470710209550698,-1.2140548368983062,0.9785688064111392,-0.018985116955527858,finrl_custom__seed123__es-relaxed__dropout-0.1,finrl_custom,123.0,relaxed,0.1,best_model
validation,finrl_custom__seed999__es-relaxed__dropout-0.1,RL,1000000.0,1050425.7072595782,5.042570725957818,0.21374102979622966,0.050425707259577734,0.1165617525306099,1.7463619099397318,4.764126257360454,0.14997861524572095,-0.04486468625091646,1.3776315434137965,2.569265008362694,0.9685149016352829,-0.013877626627614648,finrl_custom__seed999__es-relaxed__dropout-0.1,finrl_custom,999.0,relaxed,0.1,best_model
test,finrl_custom__seed999__es-relaxed__dropout-0.1,RL,1000000.0,861014.2317574001,-13.89857682425999,-0.12193590692778955,-0.13898576824260145,0.14206005969754198,-0.8473921304206198,-0.6908839557802245,0.6675017773319654,-0.17649260184380125,0.8568833619472223,-1.13818824995594,0.815092714494785,-0.018375585900678604,finrl_custom__seed999__es-relaxed__dropout-0.1,finrl_custom,999.0,relaxed,0.1,best_model
validation,finrl_finrl__seed42__es-relaxed__dropout-nan,RL,1000000.0,1002188.6138615414,0.21886138615414552,0.008645407975858888,0.002188613861540567,0.010050355416471665,0.8750668843765735,1.6372288351213664,4.020627841922937e-05,-0.005280512894960105,1.1914217669180385,1.3644328997556572,1.024367878622643,-0.0012313260279221076,finrl_finrl__seed42__es-relaxed__dropout-nan,finrl_finrl,42.0,relaxed,,best_checkpoint_by_validation
test,finrl_finrl__seed42__es-relaxed__dropout-nan,RL,1000000.0,943531.721449887,-5.646827855011294,-0.04925451009172155,-0.056468278550110496,0.022023826591331664,-2.2900897400592624,-0.8184579301089788,0.8872855583195561,-0.06017964794496308,0.5914878837796121,-2.7140387578011156,0.6388604402881274,-0.00297488633435616,finrl_finrl__seed42__es-relaxed__dropout-nan,finrl_finrl,42.0,relaxed,,best_checkpoint_by_validation
validation,finrl_finrl__seed123__es-relaxed__dropout-nan,RL,1000000.0,1018076.5383592143,1.80765383592143,0.07308825133786967,0.0180765383592143,0.02460418306743248,2.9250366200511575,10.759960924605828,0.4952043136210711,-0.006792613081961274,1.781992337139091,5.61372676633205,1.6952089846211982,-0.002814247852465514,finrl_finrl__seed123__es-relaxed__dropout-nan,finrl_finrl,123.0,relaxed,,best_checkpoint_by_validation
test,finrl_finrl__seed123__es-relaxed__dropout-nan,RL,1000000.0,882908.5946101918,-11.709140538980822,-0.10256573591242157,-0.11709140538980878,0.05715427210782842,-1.8709440158186772,-0.8759458951830854,0.855545066080448,-0.11709140538980875,0.642697980360314,-2.245983536242468,0.7412413107076224,-0.007625096538592725,finrl_finrl__seed123__es-relaxed__dropout-nan,finrl_finrl,123.0,relaxed,,best_checkpoint_by_validation
