left,right,cosine
primitive_cav__primitive_00,primitive_cav__primitive_01,0.4336235839278147
primitive_cav__primitive_00,primitive_cav__primitive_02,0.7973149573753555
primitive_cav__primitive_00,primitive_cav__primitive_04,-0.3529258458093888
primitive_cav__primitive_00,primitive_cav__primitive_05,-0.6744398189203215
primitive_cav__primitive_01,primitive_cav__primitive_02,0.6064791980300995
primitive_cav__primitive_01,primitive_cav__primitive_04,-0.16668508560131326
primitive_cav__primitive_01,primitive_cav__primitive_05,-0.8144213206951557
primitive_cav__primitive_02,primitive_cav__primitive_04,-0.2881459309104966
primitive_cav__primitive_02,primitive_cav__primitive_05,-0.8385488662838467
primitive_cav__primitive_04,primitive_cav__primitive_05,-0.10334987000296526
bad_vs_good_cav,primitive_cav__primitive_00,-0.9492535223648261
bad_vs_good_cav,primitive_cav__primitive_01,-0.664354680858593
bad_vs_good_cav,primitive_cav__primitive_02,-0.796612821900073
bad_vs_good_cav,primitive_cav__primitive_04,0.37199425453219875
bad_vs_good_cav,primitive_cav__primitive_05,0.7743567291262946
bad_vs_good_cav,high_vix_cav,-0.05196680423196501
bad_vs_good_cav,drawdown_stress_cav,-0.70171028152209
bad_vs_good_cav,high_turnover_cav,0.035036085886342896
bad_vs_good_cav,high_action_change_cav,0.035036085886342896
bad_vs_good_cav,high_concentration_cav,-0.6600682529651927
bad_vs_good_cav,positive_excess_return_cav,-0.1771659172471513
bad_vs_good_cav,centroid_to_good__primitive_02_to_primitive_00,0.16289162759634848
bad_vs_good_cav,centroid_to_good__primitive_04_to_primitive_00,-0.38002714116641606
bad_vs_good_cav,centroid_to_good__primitive_05_to_primitive_00,-0.2862795803664705
bad_vs_good_cav,centroid_to_good__bad_to_primitive_00,-0.27439945386283626
bad_primitives_cav,primitive_cav__primitive_00,-0.6106212323698242
bad_primitives_cav,primitive_cav__primitive_01,-0.9542076834397087
bad_primitives_cav,primitive_cav__primitive_02,-0.6300707862552322
bad_primitives_cav,primitive_cav__primitive_04,0.25259640528560184
bad_primitives_cav,primitive_cav__primitive_05,0.8175530620853592
bad_primitives_cav,bad_vs_good_cav,0.8154623544487929
bad_primitives_cav,high_vix_cav,-0.06224388226191302
bad_primitives_cav,drawdown_stress_cav,-0.9189378020837178
bad_primitives_cav,high_turnover_cav,-0.057303783581904875
bad_primitives_cav,high_action_change_cav,-0.057303783581904875
bad_primitives_cav,high_concentration_cav,-0.22937733536059635
bad_primitives_cav,positive_excess_return_cav,-0.1399123455074098
bad_primitives_cav,centroid_to_good__primitive_02_to_primitive_00,0.062187014666770735
bad_primitives_cav,centroid_to_good__primitive_04_to_primitive_00,-0.3942569111300415
bad_primitives_cav,centroid_to_good__primitive_05_to_primitive_00,-0.32811273509104
bad_primitives_cav,centroid_to_good__bad_to_primitive_00,-0.3226045173397418
high_vix_cav,primitive_cav__primitive_00,0.02460136469376156
high_vix_cav,primitive_cav__primitive_01,0.02173305210900782
high_vix_cav,primitive_cav__primitive_02,-0.03467180448340166
high_vix_cav,primitive_cav__primitive_04,-0.08176943509882019
high_vix_cav,primitive_cav__primitive_05,0.022891222050959757
high_vix_cav,positive_excess_return_cav,0.3277842669925922
drawdown_stress_cav,primitive_cav__primitive_00,0.49406403016081957
drawdown_stress_cav,primitive_cav__primitive_01,0.9231880884771815
drawdown_stress_cav,primitive_cav__primitive_02,0.5736813297771847
drawdown_stress_cav,primitive_cav__primitive_04,-0.22926861794056294
drawdown_stress_cav,primitive_cav__primitive_05,-0.7491453186020646
drawdown_stress_cav,high_vix_cav,0.04579195923404232
drawdown_stress_cav,high_turnover_cav,0.008644362138577211
drawdown_stress_cav,high_action_change_cav,0.008644362138577211
drawdown_stress_cav,high_concentration_cav,-0.004614245304876453
drawdown_stress_cav,positive_excess_return_cav,0.1269718271448358
high_turnover_cav,primitive_cav__primitive_00,-0.06305718529443699
high_turnover_cav,primitive_cav__primitive_01,0.10044920532923583
high_turnover_cav,primitive_cav__primitive_02,0.09668703463117073
high_turnover_cav,primitive_cav__primitive_04,0.5452685284812975
high_turnover_cav,primitive_cav__primitive_05,-0.3182607375109209
high_turnover_cav,high_vix_cav,0.042191425343992686
high_turnover_cav,positive_excess_return_cav,-0.0035593960653975687
high_action_change_cav,primitive_cav__primitive_00,-0.06305718529443699
high_action_change_cav,primitive_cav__primitive_01,0.10044920532923583
high_action_change_cav,primitive_cav__primitive_02,0.09668703463117073
high_action_change_cav,primitive_cav__primitive_04,0.5452685284812975
high_action_change_cav,primitive_cav__primitive_05,-0.3182607375109209
high_action_change_cav,high_vix_cav,0.042191425343992686
high_action_change_cav,high_turnover_cav,1.0
high_action_change_cav,high_concentration_cav,0.017185859113253127
high_action_change_cav,positive_excess_return_cav,-0.0035593960653975687
high_concentration_cav,primitive_cav__primitive_00,0.7931578008201832
high_concentration_cav,primitive_cav__primitive_01,0.03425738540084545
high_concentration_cav,primitive_cav__primitive_02,0.6135897492467841
high_concentration_cav,primitive_cav__primitive_04,-0.3048394680564562
