behavior_window_id,run_key,feature_set,feature_family,fold_id,seed,date,window_start_date,window_end_date,window_length,primitive_id,primitive_type,reward_daily_return,reward_benchmark_return,reward_excess_return_vs_benchmark,same_day_excess_return_vs_benchmark,current_drawdown,regime_label_exogenous,market_regime,analysis_regime,action_l1_wmean,action_change_l1_wmean,action_jitter_l2_wmean,turnover_wmean,portfolio_hhi_wmean,portfolio_max_weight_wmean,portfolio_benchmark_deviation_l1_wmean,portfolio_sector_max_weight_wmean,vix_wmean,sp500_trend_wmean
base_macro__fold_01__seed123__w0002,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-06,2016-01-04,2016-01-06,3,primitive_05,bad_or_noisy_primitive,-0.0082315594777384,-0.0233565177057114,0.0151249582279729,0.009533741649677,-0.0033581238002778,unknown,1.0,market_regime_1,1500.0,0.0,0.0,0.0,0.0016124060618974,0.0139150179639025,0.8936466909123718,0.0287448559073048,20.21000035603841,-0.0260784925503636
base_macro__fold_01__seed123__w0003,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-07,2016-01-04,2016-01-07,4,primitive_05,bad_or_noisy_primitive,-0.0042724706998945,-0.0102312547639873,0.0059587840640927,0.0151249582279729,-0.0115620406822208,unknown,0.0,market_regime_0,1500.0,0.0,0.0,0.0,0.0032906756454685,0.020562617516567,0.8460412035149478,0.0424812089034446,21.40500020980835,-0.0336319148121639
base_macro__fold_01__seed123__w0004,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-08,2016-01-04,2016-01-08,5,primitive_05,bad_or_noisy_primitive,0.0009714981435178,0.0041029253245778,-0.0031314271810599,0.0059587840640927,-0.0157851129020696,unknown,0.0,market_regime_0,1500.0,0.0,0.0,0.0,0.0055575642080383,0.0272530765758695,0.8142172849478537,0.0561073983320349,22.52600021362305,-0.0401465715907001
base_macro__fold_01__seed123__w0005,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-11,2016-01-05,2016-01-11,5,primitive_05,bad_or_noisy_primitive,0.0052998133770556,0.008148971436885,-0.0028491580598293,-0.0031314271810599,-0.0148289499664313,unknown,0.0,market_regime_0,1500.0,0.0,0.0,0.0,0.0101369909695299,0.0408909951909252,0.7584790818039346,0.0837510634129444,23.245999908447267,-0.0484994208413836
base_macro__fold_01__seed123__w0006,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-12,2016-01-06,2016-01-12,5,primitive_05,bad_or_noisy_primitive,-0.0204393375481305,-0.02380098824474,0.0033616506966094,-0.0028491580598293,-0.0096077272567756,unknown,0.0,market_regime_0,1500.0,0.0,0.0,0.0,0.0165823298795783,0.0543453532298696,0.7353803451725959,0.11123114148791,23.871999740600582,-0.0557737388077091
base_macro__fold_01__seed123__w0007,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-13,2016-01-07,2016-01-13,5,primitive_05,bad_or_noisy_primitive,0.0141057069271044,0.0152151100190919,-0.0011094030919875,0.0033616506966094,-0.0298506892244345,unknown,0.0,market_regime_0,1500.0,0.0,0.0,0.0,0.0246790354010067,0.0674194607269858,0.7465904439162265,0.138523731817957,24.797999572753906,-0.0651522663697536
base_macro__fold_01__seed123__w0008,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-14,2016-01-08,2016-01-14,5,primitive_05,bad_or_noisy_primitive,-0.0176060070006546,-0.0239880390156205,0.0063820320149659,-0.0011094030919875,-0.016166047371102,unknown,0.0,market_regime_0,1500.0,0.0,0.0,0.0,0.0346696684538981,0.0805965110825388,0.7905705391015012,0.1660362310652436,24.589999771118165,-0.0668822060776427
base_macro__fold_01__seed123__w0009,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-15,2016-01-11,2016-01-15,5,primitive_05,bad_or_noisy_primitive,0.0031595069137539,0.0029677042672423,0.0001918026465116,0.0063820320149659,-0.0334874348285679,unknown,0.0,market_regime_0,1419.4,80.6,40.00449974690348,40.3,0.0464340698490636,0.0932877558155794,0.8531412472396029,0.193513793747956,24.59199981689453,-0.0705889532406987
base_macro__fold_01__seed123__w0010,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-19,2016-01-12,2016-01-19,5,primitive_04,bad_or_noisy_primitive,-0.0141915418589755,-0.0119318408881184,-0.002259700970857,0.0001918026465116,-0.0304337316966788,unknown,0.0,market_regime_0,1119.4,300.0,117.16303783569828,150.0,0.0586886142370949,0.1032521855707641,0.919441691962013,0.2207906936509879,24.94199981689453,-0.0743350975524565
base_macro__fold_01__seed123__w0011,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-20,2016-01-13,2016-01-20,5,primitive_04,bad_or_noisy_primitive,0.0055226163929011,0.0058703311553913,-0.0003477147624901,-0.002259700970857,-0.044193371978356,unknown,0.0,market_regime_0,819.4,300.0,183.31710044715092,150.0,0.0688852858145407,0.1104483495610153,0.9747045525030996,0.24214535348151,25.96599998474121,-0.0816412993400346
base_macro__fold_01__seed123__w0012,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-21,2016-01-14,2016-01-21,5,primitive_04,bad_or_noisy_primitive,0.0104948690052009,0.0139415296218315,-0.0034466606166306,-0.0003477147624901,-0.0389148186259999,unknown,0.0,market_regime_0,519.4,300.0,183.31710044715092,150.0,0.0768304600630562,0.1148737674074798,1.0166206897518704,0.2581225516339253,26.26000022888184,-0.0832958686803308
base_macro__fold_01__seed123__w0013,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-22,2016-01-15,2016-01-22,5,primitive_00,profitable_reliable_candidate,-0.0113184237382502,-0.0111728912453457,-0.0001455324929044,-0.0034466606166306,-0.0288283555446402,unknown,0.0,market_regime_0,219.4,300.0,183.31710044715092,150.0,0.0820946686064878,0.1171649751139296,1.0423029292365906,0.2686473692358554,25.93800010681152,-0.0843113769178064
base_macro__fold_01__seed123__w0014,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-25,2016-01-19,2016-01-25,5,primitive_00,profitable_reliable_candidate,0.0210391796866085,0.0153668626633955,0.0056723170232129,-0.0001455324929044,-0.0398204877391591,unknown,0.0,market_regime_0,0.0,219.4,143.31260070024751,109.7,0.0842735670102845,0.1167669831059707,1.0521606812325182,0.2738922009931023,25.363999938964845,-0.084180442927547
base_macro__fold_01__seed123__w0015,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-26,2016-01-20,2016-01-26,5,primitive_00,profitable_reliable_candidate,-0.0161092692334464,-0.0141275561187017,-0.0019817131147447,0.0056723170232129,-0.0196190984493032,unknown,0.0,market_regime_0,0.0,0.0,66.15406261145267,0.0,0.0843283118340038,0.1165145891010481,1.0519133575089954,0.2745971695908413,24.65400009155273,-0.0815486572943371
base_macro__fold_01__seed123__w0016,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-27,2016-01-21,2016-01-27,5,primitive_00,profitable_reliable_candidate,0.0083429988480805,0.0071649304288513,0.0011780684192291,-0.0019817131147447,-0.0354123183437123,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0842911229170083,0.1162963574600683,1.0513039091004115,0.2742435338068404,23.75800018310547,-0.0787968851443048
base_macro__fold_01__seed123__w0017,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-28,2016-01-22,2016-01-28,5,primitive_00,profitable_reliable_candidate,0.0211829135391525,0.0246338123409239,-0.0034508988017713,0.0011780684192291,-0.0273647644267812,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0842877039551831,0.1168346014725367,1.0499476760672273,0.2739869781463585,22.90400009155273,-0.075970078255285
base_macro__fold_01__seed123__w0018,base_macro__fold_01__seed123,base_macro,macro_context,fold_01,123,2016-01-29,2016-01-25,2016-01-29,5,primitive_00,profitable_reliable_candidate,-0.0006820741971284,-0.0002031016048774,-0.0004789725922509,-0.0034508988017713,-0.0067615163265005,unknown,0.0,market_regime_0,0.0,0.0,0.0,0.0,0.0842534132043514,0.1170014793273144,1.0501731063428354,0.2741339229482936,22.476000213623045,-0.0722597758924567
