rank_by_gate_score,variant_id,experiment_name,branch,strength,derived_domain,mode,hypothesis,is_negative_control_variant,test_sharpe_median,delta_vs_reference_test_sharpe_median,delta_vs_g0_test_sharpe_median,test_return_pct_median,delta_vs_reference_test_return_pct_median,delta_vs_g0_test_return_pct_median,test_max_drawdown_median,delta_vs_reference_test_max_drawdown_median,delta_vs_g0_test_max_drawdown_median,test_turnover_median,delta_vs_reference_test_turnover_median,delta_vs_g0_test_turnover_median,primary_benchmark_excess_return_pct_median,delta_vs_reference_primary_benchmark_excess_return_pct_median,delta_vs_g0_primary_benchmark_excess_return_pct_median,primary_benchmark_excess_sharpe_median,delta_vs_reference_primary_benchmark_excess_sharpe_median,delta_vs_g0_primary_benchmark_excess_sharpe_median,primary_benchmark_outperform_return_rate,delta_vs_reference_primary_benchmark_outperform_return_rate,delta_vs_g0_primary_benchmark_outperform_return_rate,primary_benchmark_outperform_sharpe_rate,delta_vs_reference_primary_benchmark_outperform_sharpe_rate,delta_vs_g0_primary_benchmark_outperform_sharpe_rate,primary_benchmark_hit_rate_median,delta_vs_reference_primary_benchmark_hit_rate_median,delta_vs_g0_primary_benchmark_hit_rate_median,generalization_ratio_median,delta_vs_reference_generalization_ratio_median,delta_vs_g0_generalization_ratio_median,retention_ratio_median,delta_vs_reference_retention_ratio_median,delta_vs_g0_retention_ratio_median,paired_delta_validation_sharpe_median,paired_delta_validation_sharpe_mean,paired_win_rate_validation_sharpe,paired_delta_validation_return_pct_median,paired_delta_validation_return_pct_mean,paired_win_rate_validation_return_pct,paired_delta_test_sharpe_median,paired_delta_test_sharpe_mean,paired_win_rate_test_sharpe,paired_delta_test_return_pct_median,paired_delta_test_return_pct_mean,paired_win_rate_test_return_pct,paired_delta_test_max_drawdown_median,paired_delta_test_max_drawdown_mean,paired_win_rate_test_max_drawdown,paired_delta_test_turnover_median,paired_delta_test_turnover_mean,paired_win_rate_test_turnover,paired_delta_generalization_ratio_median,paired_delta_generalization_ratio_mean,paired_win_rate_generalization_ratio,paired_delta_retention_ratio_median,paired_delta_retention_ratio_mean,paired_win_rate_retention_ratio,paired_delta_primary_excess_return_pct_median,paired_delta_primary_excess_return_pct_mean,paired_win_rate_primary_excess_return_pct,paired_delta_primary_excess_sharpe_median,paired_delta_primary_excess_sharpe_mean,paired_win_rate_primary_excess_sharpe,paired_delta_primary_outperformed_benchmark_on_return_median,paired_delta_primary_outperformed_benchmark_on_return_mean,paired_win_rate_primary_outperformed_benchmark_on_return,paired_delta_primary_outperformed_benchmark_on_sharpe_median,paired_delta_primary_outperformed_benchmark_on_sharpe_mean,paired_win_rate_primary_outperformed_benchmark_on_sharpe,paired_delta_primary_hit_rate_vs_benchmark_median,paired_delta_primary_hit_rate_vs_benchmark_mean,paired_win_rate_primary_hit_rate_vs_benchmark,folds_with_positive_test_sharpe_delta,folds_with_positive_test_return_delta,folds_with_lower_turnover,gate_score,provisional_gate_pass,verdict
1,g1h_downside_return_strong,ssl_domain_g1h_downside_return_strong,downside_return,strong,benchmark_signed_return_tercile,stress_upweight,Test dose-response for downside-return domain upweighting.,False,0.9213148081938052,-0.4165005514210731,-0.4165005514210731,2.683908983357264,-0.5782734160172165,-0.5782734160172165,-0.0571690306238044,-0.003209562609598697,-0.003209562609598697,11.30119698152485,-0.886026541764247,-0.886026541764247,-0.0358747900227107,0.7555711136314259,0.48302491565684896,-0.301197677343733,-0.08677214194572339,-0.08677214194572339,0.5,0.07142857142857151,0.07142857142857151,0.3809523809523809,-0.047619047619047616,-0.047619047619047616,0.484375,-0.007558385376008281,-0.007558385376008281,3.1206843219776985,0.02581202768560198,-0.09624370818464634,0.5872681487250597,0.16660015685486773,0.16660015685486773,-0.13599532393584113,-0.07273083274933312,0.38095238095238093,-0.412814300949937,-0.32043581314075703,0.42857142857142855,-0.04790830855676009,-0.015372685965187916,0.4523809523809524,-0.06113450082112484,0.043244592158054464,0.47619047619047616,-0.0018203041526127992,0.0010101575450230426,0.42857142857142855,0.0,0.39188215212049926,0.4523809523809524,-0.06439410351011576,-0.18619105479210762,0.47619047619047616,0.019505476152549828,-0.43663555444565383,0.5476190476190477,-0.06113450082112504,0.04324459215805433,0.47619047619047616,-0.04790830855675984,-0.015372685965187887,0.4523809523809524,0.0,0.07142857142857142,0.16666666666666666,0.0,-0.047619047619047616,0.11904761904761904,-0.0078125,-0.0027102124856053247,0.30952380952380953,5,5,9,0.07355260997000737,False,lower_turnover_but_lower_sharpe
2,g1c_abs_reverse_negative_control,ssl_domain_g1c_abs_reverse_negative_control,absolute_return_stress,reverse_negative_control,benchmark_abs_return_tercile,stress_upweight,Negative control: downweight absolute-return stress days.,True,0.7796661346843454,-0.5581492249305329,-0.5581492249305329,2.4012929206624345,-0.8608894787120458,-0.8608894787120458,-0.0571218608165438,-0.0031623928023380987,-0.0031623928023380987,12.784690220174092,0.5974666968849949,0.5974666968849949,-0.6983157804400453,0.09313012321409131,-0.1794160747604856,-0.1763897814210134,0.03803575397699621,0.03803575397699621,0.3809523809523809,-0.047619047619047616,-0.047619047619047616,0.3333333333333333,-0.09523809523809518,-0.09523809523809518,0.5,0.00806661462399172,0.00806661462399172,2.713121513159736,-0.3817507811323604,-0.5038065170026087,0.2655689889491211,-0.15509900292107087,-0.15509900292107087,-0.10429487698212903,-0.07795856433341822,0.40476190476190477,-0.6035623912237162,-0.747929662555431,0.3333333333333333,-0.1292419386228988,-0.06268978463434229,0.40476190476190477,-0.15158602910088637,0.4468320037654714,0.4523809523809524,-0.0019185617733961484,0.007955445788057075,0.42857142857142855,0.3968253968253963,0.7481980673460994,0.5,-0.08293703543840514,-0.12034995582768929,0.4523809523809524,-0.04084395564193665,-0.4804698941644361,0.42857142857142855,-0.1515860291008868,0.4468320037654711,0.4523809523809524,-0.12924193862289876,-0.06268978463434229,0.40476190476190477,0.0,-0.047619047619047616,0.09523809523809523,0.0,-0.09523809523809523,0.07142857142857142,0.0078125,0.005022978769626422,0.5,5,6,6,-0.09877934397495479,False,negative_control_not_promotable
3,g1f_vol_reverse_negative_control,ssl_domain_g1f_vol_reverse_negative_control,volatility_stress,reverse_negative_control,benchmark_vol_tercile,stress_upweight,Negative control: downweight high-volatility train domains.,True,0.7246331687244855,-0.6131821908903928,-0.6131821908903928,1.5097796037055744,-1.7524027956689059,-1.7524027956689059,-0.0520338084575521,0.0019256595566536014,0.0019256595566536014,11.315573770491802,-0.8716497527972944,-0.8716497527972944,-0.9839319719328828,-0.19248606827874626,-0.46503226625332317,-0.1695329247479599,0.04489261065004971,0.04489261065004971,0.4047619047619047,-0.02380952380952378,-0.02380952380952378,0.4523809523809524,0.02380952380952389,0.02380952380952389,0.4761904761904761,-0.015742909185532172,-0.015742909185532172,2.8823889383594192,-0.2124833559326773,-0.3345390918029256,0.4237415431197557,0.0030735512495637107,0.0030735512495637107,-0.05422043437658963,-0.18536269137070394,0.47619047619047616,-0.06768733768846058,-1.1143135043904562,0.47619047619047616,-0.11257966560306454,-0.06618279092526898,0.35714285714285715,-0.6453610872486024,-0.017229665093175372,0.42857142857142855,-0.0011079398155330981,0.008001545230941475,0.47619047619047616,-0.8066614623991653,-0.5814151590479307,0.42857142857142855,0.007924215764241856,-0.09152304877092872,0.5476190476190477,-0.00140427003941275,-0.2733446556160215,0.5,-0.6453610872486024,-0.017229665093175202,0.42857142857142855,-0.11257966560306458,-0.06618279092526891,0.35714285714285715,0.0,-0.023809523809523808,0.14285714285714285,0.0,0.023809523809523808,0.16666666666666666,-0.016129032258064557,-0.013384438180936634,0.2619047619047619,3,4,9,-0.1757730609701097,False,negative_control_not_promotable
4,g1g_downside_return_mild,ssl_domain_g1g_downside_return_mild,downside_return,mild,benchmark_signed_return_tercile,stress_upweight,Mildly upweight negative/low signed-return train domains.,False,1.0708686260671485,-0.2669467335477298,-0.2669467335477298,2.944267315140348,-0.3179150842341323,-0.3179150842341323,-0.0470101655094516,0.006949302504754104,0.006949302504754104,10.878503437334745,-1.3087200859543522,-1.3087200859543522,-0.7783703365267847,0.013075567127351917,-0.259470630847225,-0.3871530508505428,-0.1727275154525332,-0.1727275154525332,0.3809523809523809,-0.047619047619047616,-0.047619047619047616,0.3333333333333333,-0.09523809523809518,-0.09523809523809518,0.4720799180327868,-0.019853467343221465,-0.019853467343221465,2.785102937722601,-0.30976935656949545,-0.43182509243974376,0.3926681905929245,-0.027999801277267478,-0.027999801277267478,-0.03794010124402081,0.005804127740758923,0.47619047619047616,-0.011684268550050003,-0.34886336185124567,0.5,-0.0356006948047114,0.008458522546709524,0.47619047619047616,-0.48770036857507826,-0.17530182176868922,0.4523809523809524,0.000597954820556747,0.00017155401439809988,0.5476190476190477,-0.7936507936507944,-0.3935260131433734,0.40476190476190477,-0.1259301179908625,-0.21087189244947094,0.47619047619047616,0.016015131242302943,-0.5113254560281038,0.5476190476190477,-0.48770036857507837,-0.17530182176868928,0.4523809523809524,-0.0356006948047114,0.008458522546709531,0.47619047619047616,0.0,-0.047619047619047616,0.14285714285714285,0.0,-0.09523809523809523,0.09523809523809523,-0.016261237440507753,-0.013429468385274082,0.30952380952380953,6,6,9,-0.23488775034489248,False,lower_turnover_but_lower_sharpe
5,g1j_market_regime_inverse_frequency,ssl_domain_g1j_market_regime_inverse_frequency,market_regime_balance,inverse_frequency,market_regime,inverse_frequency,Balance rare train Market_Regime domains by inverse frequency.,False,0.7736786851821595,-0.5641366744327188,-0.5641366744327188,1.8511167890827185,-1.4110656102917618,-1.4110656102917618,-0.0603542445572779,-0.006394776543072196,-0.006394776543072196,11.293260473588342,-0.8939630497007549,-0.8939630497007549,-0.7042202686901806,0.08722563496395597,-0.18532056301062094,-0.3699901167835077,-0.15556458138549809,-0.15556458138549809,0.3809523809523809,-0.047619047619047616,-0.047619047619047616,0.3095238095238095,-0.11904761904761901,-0.11904761904761901,0.484375,-0.007558385376008281,-0.007558385376008281,2.890744913435377,-0.20412738085671966,-0.326183116726968,0.2658870709301303,-0.15478092094006168,-0.15478092094006168,-0.019562571284137187,-0.12370363687533996,0.47619047619047616,0.025125466925867812,-0.7142825737224812,0.5238095238095238,-0.31719528344224635,-0.18279662322778195,0.2619047619047619,-1.1035907849164972,-0.47097445733055415,0.35714285714285715,-0.0007549490687775995,0.0006069334180847705,0.47619047619047616,0.7222222222222232,0.2602145741074506,0.5476190476190477,-0.04265551405052004,-0.27145088027969294,0.47619047619047616,-0.125929389902578,-0.66048596243136,0.2857142857142857,-1.1035907849164972,-0.4709744573305543,0.35714285714285715,-0.31719528344224635,-0.18279662322778195,0.2619047619047619,0.0,-0.047619047619047616,0.11904761904761904,0.0,-0.11904761904761904,0.11904761904761904,-0.015873015873015817,-0.008165846579832943,0.35714285714285715,1,3,4,-0.2660697777562932,False,lower_turnover_but_lower_sharpe
6,g1i_drawdown_stress_mild,ssl_domain_g1i_drawdown_stress_mild,drawdown_stress,mild,benchmark_drawdown_tercile,stress_upweight,Mildly upweight deep train drawdown domains.,False,1.1169787790797876,-0.2208365805350907,-0.2208365805350907,3.2580095146990677,-0.004172884675412547,-0.004172884675412547,-0.0581196213774578,-0.004160153363252095,-0.004160153363252095,12.127699713765288,-0.059523809523808424,-0.059523809523808424,-1.152790382290009,-0.3613444786358724,-0.6338906766104493,-0.3278940521308132,-0.11346851673280359,-0.11346851673280359,0.3095238095238095,-0.11904761904761901,-0.11904761904761901,0.3571428571428571,-0.0714285714285714,-0.0714285714285714,0.484375,-0.007558385376008281,-0.007558385376008281,3.167688819061823,0.07281652476972633,-0.049239211100521985,0.4386553472568086,0.01798735538661661,0.01798735538661661,-0.03717239624075197,-0.030263024245088956,0.42857142857142855,-0.28402441019523916,-0.23682458579505686,0.42857142857142855,-0.16660429138205146,-0.012859506107204427,0.35714285714285715,-0.3146486618225317,-0.5114513309735835,0.35714285714285715,0.00171588341185765,-0.00014173238834716147,0.5476190476190477,-0.19060419866871392,-0.09474499888679783,0.42857142857142855,0.10943313778059016,-0.08972656862351586,0.5476190476190477,-0.01952846904249335,-0.47898476288242275,0.40476190476190477,-0.31464866182253176,-0.5114513309735835,0.35714285714285715,-0.16660429138205135,-0.012859506107204457,0.35714285714285715,0.0,-0.11904761904761904,0.09523809523809523,0.0,-0.07142857142857142,0.11904761904761904,-0.0078125,-0.003096607238288698,0.35714285714285715,4,4,6,-0.2951482293891316,False,lower_turnover_but_lower_sharpe
7,g1a_abs_stress_mild,ssl_domain_g1a_abs_stress_mild,absolute_return_stress,mild,benchmark_abs_return_tercile,stress_upweight,Mildly upweight high absolute-return train days.,False,0.587308445700159,-0.7505069139147192,-0.7505069139147192,1.750977184304736,-1.5112052150697444,-1.5112052150697444,-0.0568591783926394,-0.002899710378433701,-0.002899710378433701,11.53968253968254,-0.6475409836065573,-0.6475409836065573,-1.0147017934248048,-0.22325588977066824,-0.49580208774524515,-0.3035229802251977,-0.0890974448271881,-0.0890974448271881,0.3333333333333333,-0.09523809523809518,-0.09523809523809518,0.3333333333333333,-0.09523809523809518,-0.09523809523809518,0.5,0.00806661462399172,0.00806661462399172,3.198783794010529,0.1039114997184325,-0.018144236151815818,0.3383924134695643,-0.08227557840062771,-0.08227557840062771,-0.10568219406090007,-0.10223786722952363,0.35714285714285715,-0.5478307366214352,-0.5827339329061237,0.42857142857142855,0.06492456750695286,-0.07869711427281174,0.5238095238095238,-0.10640135300826281,-0.2375608630633164,0.47619047619047616,-0.0013119091423196005,0.0013141320888697989,0.47619047619047616,-0.08730158730158877,-0.1582189153938793,0.47619047619047616,-0.07281742931506513,-0.18965488278297038,0.4523809523809524,-0.005391951146470134,-0.6641301625057233,0.47619047619047616,-0.10640135300826203,-0.2375608630633164,0.47619047619047616,0.06492456750695286,-0.07869711427281172,0.5238095238095238,0.0,-0.09523809523809523,0.09523809523809523,0.0,-0.09523809523809523,0.14285714285714285,0.0078125,-0.002422012932324938,0.5,7,6,6,-0.3548637347256018,False,lower_turnover_but_lower_sharpe
8,g1d_vol_stress_mild,ssl_domain_g1d_vol_stress_mild,volatility_stress,mild,benchmark_vol_tercile,stress_upweight,Mildly upweight high rolling-volatility train domains.,False,0.757663246415065,-0.5801521131998133,-0.5801521131998133,2.033507888496966,-1.2286745108775143,-1.2286745108775143,-0.052992763386634,0.0009667046275717017,0.0009667046275717017,11.546448087431694,-0.6407754358574032,-0.6407754358574032,-1.116838281091509,-0.32539237743737237,-0.5979385754119493,-0.4285232710681239,-0.21409773567011428,-0.21409773567011428,0.3571428571428571,-0.0714285714285714,-0.0714285714285714,0.3095238095238095,-0.11904761904761901,-0.11904761904761901,0.4682459677419355,-0.023687417634072783,-0.023687417634072783,2.83178641552354,-0.2630858787685564,-0.3851416146388047,0.5882734583989006,0.16760546652870856,0.16760546652870856,-0.05453885041534978,-0.14997838674444774,0.4523809523809524,-0.3973406902805112,-1.1696390346137633,0.42857142857142855,-0.09338801653664941,-0.06628192166259989,0.40476190476190477,-0.12727193606319442,-0.21040926129770193,0.4523809523809524,6.22857898937429e-05,0.0026928895829299,0.5,0.0,-0.6867533305113566,0.4523809523809524,-0.05414775194646346,-0.2026800298629999,0.4523809523809524,-0.03382772301584487,-0.34689303653458975,0.42857142857142855,-0.12727193606319476,-0.21040926129770193,0.4523809523809524,-0.09338801653664941,-0.06628192166259989,0.40476190476190477,0.0,-0.07142857142857142,0.09523809523809523,0.0,-0.11904761904761904,0.07142857142857142,-0.023561507936507936,-0.020000783563028597,0.3333333333333333,4,6,8,-0.4730230960731479,False,lower_turnover_but_lower_sharpe
9,g1e_vol_stress_strong,ssl_domain_g1e_vol_stress_strong,volatility_stress,strong,benchmark_vol_tercile,stress_upweight,Test dose-response for volatility-domain upweighting.,False,0.8471349276019206,-0.49068043201295775,-0.49068043201295775,2.33877785943587,-0.9234045399386104,-0.9234045399386104,-0.0577368592623948,-0.003777391248189099,-0.003777391248189099,12.282461618527194,0.09523809523809668,0.09523809523809668,-1.426807615702819,-0.6353617120486825,-0.9079079100232594,-0.5377300254860724,-0.32330449008806283,-0.32330449008806283,0.3095238095238095,-0.11904761904761901,-0.11904761904761901,0.2857142857142857,-0.1428571428571428,-0.1428571428571428,0.4677419354838709,-0.024191449892137395,-0.024191449892137395,2.7396600470207737,-0.35521224727132283,-0.47726798314157115,0.2387462072516633,-0.1819217846185287,-0.1819217846185287,-0.009507615620446996,-0.03738394998781924,0.5,-0.3544142555666703,-0.46700007946642247,0.4523809523809524,-0.20632975222800654,-0.30852280445609925,0.40476190476190477,-0.6664758067300378,-0.8193395260018167,0.42857142857142855,-0.001274274430151802,-0.002218857098344547,0.4523809523809524,0.3809523809523814,0.2018255607078603,0.5,-0.17374376402809877,-0.18856254832007538,0.40476190476190477,-0.04480525383080197,-0.7859644743785837,0.4523809523809524,-0.666475806730038,-0.819339526001817,0.42857142857142855,-0.20632975222800642,-0.3085228044560992,0.40476190476190477,0.0,-0.11904761904761904,0.07142857142857142,0.0,-0.14285714285714285,0.07142857142857142,-0.02393753200204815,-0.021968740894030808,0.35714285714285715,4,6,7,-0.673113102070246,False,fail
10,g1b_abs_stress_strong,ssl_domain_g1b_abs_stress_strong,absolute_return_stress,strong,benchmark_abs_return_tercile,stress_upweight,Test dose-response for absolute-return stress upweighting.,False,0.7297616446640793,-0.608053714950799,-0.608053714950799,1.1240956038524486,-2.1380867955220317,-2.1380867955220317,-0.0472334645057608,0.0067260035084449055,0.0067260035084449055,12.032258064516128,-0.15496545877296874,-0.15496545877296874,-1.6127229382041586,-0.821277034550022,-1.093823232524599,-0.6124095893123844,-0.39798405391437486,-0.39798405391437486,0.2857142857142857,-0.1428571428571428,-0.1428571428571428,0.3095238095238095,-0.11904761904761901,-0.11904761904761901,0.4763104838709677,-0.015622901505040587,-0.015622901505040587,2.9967433548310045,-0.09812893946109202,-0.22018467533134034,0.3395655077242245,-0.08110248414596749,-0.08110248414596749,-0.011294711830323045,-0.05463635303100668,0.5,0.11114967342483739,-0.5181780347128528,0.5,-0.1433867707829367,-0.204287468089788,0.4523809523809524,-0.6348255370697053,-1.0426094865435762,0.38095238095238093,0.001201724132278495,0.001488418699364,0.5476190476190477,0.47540983606557496,-0.5187016821535588,0.5476190476190477,-0.008399604383767634,-0.1422134828806544,0.47619047619047616,-0.04243411161668162,-0.7761070226989705,0.4523809523809524,-0.6348255370697053,-1.0426094865435762,0.38095238095238093,-0.14338677078293643,-0.204287468089788,0.4523809523809524,0.0,-0.14285714285714285,0.07142857142857142,0.0,-0.11904761904761904,0.07142857142857142,-0.01600102406554027,-0.021040278662143502,0.3333333333333333,6,4,5,-0.8374444447445824,False,lower_turnover_but_lower_sharpe
